Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
KOZEL FACE WASH,COD,SONLENTERPRISES FRANCHISE,844102,298,Hajipur,Delivered,298,4183210158373,2230966
RESPONSE SYRUP 300ML,COD,SONLENTERPRISES FRANCHISE,521002,2430,Machilipatnam,Delivered,2430,4183210158653,2230999
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,530024,378,Visakhapatnam,Delivered,378,4183210158045,2230943
BELLISSA ACNELISSA ACNE CARE FACE WASH 60G,COD,SONLENTERPRISES FRANCHISE,251203,1466,Khatauli,Delivered,1466,4183210158535,2230985
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,641042,339,Madukkarai,Delivered,339,4183210158476,2230979
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,521225,778,Vijayawada,Delivered,778,4183210158266,2230969
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,625706,459,Madurai,Delivered,459,4183210158631,2230934
ECGLOW G SOAP 75 G,COD,SONLENTERPRISES FRANCHISE,532457,477,Kotturu-AP,Delivered,477,4183210158524,2230948
Onon Ketoconazole Shampoo 50gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,391410,449,Vadodara,Delivered,449,4183210158480,2230978
Purilon Gel 8g 3906,COD,SONLENTERPRISES FRANCHISE,670502,336,Kannur,Delivered,336,4183210158395,2230972
BELLISSA ACNELISSA ACNE CARE FACE WASH 60G,COD,SONLENTERPRISES FRANCHISE,520010,448,Vijayawada,Delivered,448,4183210158583,2230997
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,532168,778,Rajam,Delivered,778,4183210158104,2230923
Biohair 30 plus Capsules,COD,SONLENTERPRISES FRANCHISE,584128,1170,Sindhanur,Delivered,1170,4183210158616,2230991
Whit Care Skin Treatment Lotion 100 ml pack of 2,COD,SONLENTERPRISES FRANCHISE,226025,699,Lucknow,Delivered,699,4183210158012,2230947
GLAMUS CREAM,COD,SONLENTERPRISES FRANCHISE,110053,574,Delhi,Delivered,574,4183210158351,2230925
Whit Care Skin Cream 25 gm PACK OF 2,COD,SONLENTERPRISES FRANCHISE,201310,399,Noida,Delivered,399,4183210158060,2230939
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,211003,819,Allahabad,Delivered,819,4183210157883,2230913
Rosacnil Gel 70 gm,COD,SONLENTERPRISES FRANCHISE,400053,399,Mumbai,Delivered,399,4183210158546,2230988
Onetone Plus cream 20g,COD,SONLENTERPRISES FRANCHISE,262405,394,Sitarganj,Delivered,394,4183210158056,2230940
WASA mousse 200ml,COD,SONLENTERPRISES FRANCHISE,382330,614,Ahmedabad,Delivered,614,4183210158303,2230964
vengain 200g,COD,SONLENTERPRISES FRANCHISE,491441,922,Rajnandgaon,Delivered,922,4183210158255,2230970
