Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Similac Total Comfort Infant Formula 350 g by Similac,COD,SONLENTERPRISES FRANCHISE,678571,894,Akaloor,Delivered,894,4.18321E+12,2231206
Similac Total Comfort Infant Formula 350 g by Similac,COD,SONLENTERPRISES FRANCHISE,411008,8815,Pune,Delivered,8815,4.18321E+12,2231228
Elastril Cream 50gm,COD,SONLENTERPRISES FRANCHISE,110059,579,Delhi,Delivered,579,4.18321E+12,2231198
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,504311,697,Utnoor,Delivered,697,4.18321E+12,2231219
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,201301,219,Noida,Delivered,219,4.18321E+12,2231208
ALBO SANG 400gm Pack Of 2,COD,SONLENTERPRISES FRANCHISE,201301,499,Noida,Delivered,499,4.18321E+12,2231199
Sunkroma Neo gel 50g,COD,SONLENTERPRISES FRANCHISE,585102,1400,Gulbarga,Delivered,1400,4.18321E+12,2231222
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,508252,778,Choutuppal,Delivered,778,4.18321E+12,2231209
Sensitran Toothpaste 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,274402,459,Kushinagar,Delivered,459,4.18321E+12,2231123
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,834001,398,Ranchi,Delivered,398,4.18321E+12,2231172
Whit Care Skin Treatment Lotion 100 ml pack of 3,COD,SONLENTERPRISES FRANCHISE,495671,999,Champa,Delivered,999,4.18321E+12,2231106
aktisoft moisturising Bar pack of 3 100GM,COD,SONLENTERPRISES FRANCHISE,515001,639,Anantapur,Delivered,639,4.18321E+12,2231190
Biohair 30 plus Capsules,COD,SONLENTERPRISES FRANCHISE,560102,649,Bangalore,Delivered,649,4.18321E+12,2231216
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,174027,219,Bharari,Delivered,219,4.18321E+12,2231167
aktisoft moisturising Bar pack of 3 100GM,COD,SONLENTERPRISES FRANCHISE,505325,1150,Metpally,Delivered,1150,4.18321E+12,2231187
aktisoft moisturising Bar pack of 3 100GM,COD,SONLENTERPRISES FRANCHISE,517501,639,Tirupati,Delivered,639,4.18321E+12,2231176
FacCia Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,500017,1465,Hyderabad,Delivered,1465,4.18321E+12,2231196
Response Pain Reliever Oil 100ml,COD,SONLENTERPRISES FRANCHISE,509001,509,Mahabubnagar,Delivered,509,4.18321E+12,2231156
OMNIFADE INTENSIVE BRIGHTENING AND DEPIGMENTING SERUM 30ML,COD,SONLENTERPRISES FRANCHISE,700046,1569,Kolkata,Delivered,1569,4.18321E+12,2231183
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,713205,1270,Durgapur,Delivered,1270,4.18321E+12,2231136
Lugol s Solution I P 66 100ml,COD,SONLENTERPRISES FRANCHISE,400013,374,Mumbai,Delivered,374,4.18321E+12,2231163
REMORIN CAPSULES pack of 3 3 X30,COD,SONLENTERPRISES FRANCHISE,384265,549,Patan,Delivered,549,4.18321E+12,2231133
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,494669,219,Bhanupratappur,Delivered,219,4.18321E+12,2231142
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,500092,879,Hyderabad,Delivered,879,4.18321E+12,2231201
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,362001,459,Junagadh,Delivered,459,4.18321E+12,2231140
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,711101,219,Bally,Delivered,219,4.18321E+12,2231149
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,533201,778,Amalapuram,Delivered,778,4.18321E+12,2231116
Tressgro Hair Serum 90ML Pack Of 2,COD,SONLENTERPRISES FRANCHISE,845305,1770,Raxaul,Delivered,1770,4.18321E+12,2231071
YUZDEW MOISTURIZING CREAM 200G ESCOR Z Orange Flavour 20 Tablets Pack of 2,COD,SONLENTERPRISES FRANCHISE,492001,858,Raipur,Delivered,858,4.18321E+12,2231134
