Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Vit Cal Hair Oil 200ml,COD,SONLENTERPRISES FRANCHISE,560032,389.0,Bangalore,Delivered,389.0,4183210162363,2231322
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,530002,3465.0,Visakhapatnam,Delivered,3465.0,4183210162514,2231344
UVSkrin SS SPF30 50gm,COD,SONLENTERPRISES FRANCHISE,563131,809.0,Mulbagal,Delivered,809.0,4183210162540,2231352
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,534001,778.0,Eluru,Delivered,778.0,4183210162551,2231351
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,522265,778.0,Repalle,Delivered,778.0,4183210162352,2231325
aktisoft moisturising lotion 150gm,COD,SONLENTERPRISES FRANCHISE,560036,489.0,Bangalore,Delivered,489.0,4183210162094,2231305
aktisoft moisturising Bar pack of 3 100GM aktisoft moisturising lotion 150gm,COD,SONLENTERPRISES FRANCHISE,518002,1029.0,Kurnool,Delivered,1029.0,4183210162326,2231330
Rematin IBD powder vanilla flavour 400gm,COD,SONLENTERPRISES FRANCHISE,785001,1850.0,Jorhat,Delivered,1850.0,4183210161556,2231249
Coloplast 12070 Brava Elastic Barrier Tape Pack of 20 ,COD,SONLENTERPRISES FRANCHISE,689504,2038.0,Manthuka,Delivered,2038.0,4183210162186,2231295
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,560037,778.0,Bangalore,Delivered,778.0,4183210162153,2231313
Dexolac Hi Kal Powder 400gm,COD,SONLENTERPRISES FRANCHISE,110086,1190.0,Delhi,Delivered,1190.0,4183210162024,2231281
Brain IQ Syrup 150ml,COD,SONLENTERPRISES FRANCHISE,688524,2370.0,Alappuzha,Delivered,2370.0,4183210162002,2231294
TRIMZIT FACE WASH 100ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,560010,855.0,Bangalore,Delivered,855.0,4183210162223,2231317
RESPONSE SYRUP 300ML,COD,SONLENTERPRISES FRANCHISE,503306,1250.0,Banswada,Delivered,1250.0,4183210162341,2231328
RIPANTO OINTMENT PACK OF 5 ,COD,SONLENTERPRISES FRANCHISE,400612,349.0,Thane,Delivered,349.0,4183210162164,2231314
Dewmoiz Moisturising cream 100ml Propysalic NF6 Ointment,COD,SONLENTERPRISES FRANCHISE,516175,1067.0,Chagalamarri,Delivered,1067.0,4183210162245,2231311
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,110084,339.0,Delhi,Delivered,339.0,4183210161943,2231289
Whit Care Skin Cream 25 gm PACK OF 2,COD,SONLENTERPRISES FRANCHISE,110072,399.0,Delhi,Delivered,399.0,4183210161965,2231285
Glenmark Xantox VF Sunscreen Antioxident Supplement for Skin 30 Capsules,COD,SONLENTERPRISES FRANCHISE,122413,1462.0,Gurgaon,Delivered,1462.0,4183210161840,2231243
KabiBite mango flavour diskettes 250g,COD,SONLENTERPRISES FRANCHISE,495006,837.0,Bilaspur,Delivered,837.0,4183210161674,2231229
Glenmark Elovera Bodywash 150ml pack of 2,COD,SONLENTERPRISES FRANCHISE,515865,1240.0,Rayadurgam,Delivered,1240.0,4183210162131,2231236
P soft soap 100gm pack of 2,COD,SONLENTERPRISES FRANCHISE,533003,397.0,Kakinada,Delivered,397.0,4183210162072,2231307
Magidruff Anti Dandruff Shampoo 100ML,COD,SONLENTERPRISES FRANCHISE,520012,370.0,Vijayawada,Delivered,370.0,4183210162050,2231310
Hairguard PH 55 Shampoo 125ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,635303,1114.0,Harur,Delivered,1114.0,4183210161991,2231255
GlamWite Dream Face Wash 70g Pack Of 2,COD,SONLENTERPRISES FRANCHISE,411030,369.0,Pune,Delivered,369.0,4183210162083,2231306
Japani Oil 15ml pack of 2,COD,SONLENTERPRISES FRANCHISE,385565,477.0,Tharad,Delivered,477.0,4183210160635,2231146
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,533106,417.0,Rajahmundry,Delivered,417.0,4183210161976,2231284
I GLOW FACE WASH 100 ML PACK OF 2,COD,SONLENTERPRISES FRANCHISE,524127,829.0,Naidupeta,Delivered,829.0,4183210161792,2231275
