Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Albumen Care 400 gm Mango Flavour ,COD,SONLENTERPRISES FRANCHISE,637101,1316,Sankari,Delivered,1316,4.18321E+12,2231441
POLLUGAURD SPF 35 PA 60G SUNSCREEN GEL,COD,SONLENTERPRISES FRANCHISE,522501,1870,Guntur,Delivered,1870,4.18321E+12,2231418
Bio Hgf Forte 30 Capsules,COD,SONLENTERPRISES FRANCHISE,534202,699,Bhimavaram,Delivered,699,4.18321E+12,2231442
KOZEL FACE WASH,COD,SONLENTERPRISES FRANCHISE,533286,497,Gokavaram,Delivered,497,4.18321E+12,2231445
OMNIFADE INTENSIVE BRIGHTENING AND DEPIGMENTING SERUM 30ML,COD,SONLENTERPRISES FRANCHISE,767033,1569,Titilagarh,Delivered,1569,4.18321E+12,2231416
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,530044,697,Visakhapatnam,Delivered,697,4.18321E+12,2231411
POLLUGAURD SPF 35 PA 60G SUNSCREEN GEL,COD,SONLENTERPRISES FRANCHISE,560056,699,Bangalore,Delivered,699,4.18321E+12,2231422
AKTISOFT MOISTURISING BAR 75GM Pack Of 2,COD,SONLENTERPRISES FRANCHISE,560099,531,Bangalore,Delivered,531,4.18321E+12,2231429
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,110009,339,Delhi,Delivered,339,4.18321E+12,2231388
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,560061,778,Bangalore,Delivered,778,4.18321E+12,2231434
WASA mousse 200ml,COD,SONLENTERPRISES FRANCHISE,226016,614,Lucknow,Delivered,614,4.18321E+12,2231366
KabiBite mango flavour diskettes 250g,COD,SONLENTERPRISES FRANCHISE,734012,837,Bagdogra,Delivered,837,4.18321E+12,2231377
ECGLOW G SOAP 75 G,COD,SONLENTERPRISES FRANCHISE,560085,288,Bangalore,Delivered,288,4.18321E+12,2231400
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,531163,398,Bheemunipatnam,Delivered,398,4.18321E+12,2231424
Mediclin Soap 75g pack of 4 MEDICLIN SOAP 75GM Pack Of 2,COD,SONLENTERPRISES FRANCHISE,531162,879,Bheemunipatnam,Delivered,879,4.18321E+12,2231389
Tlismi Moti 10 Units Pack,COD,SONLENTERPRISES FRANCHISE,201016,349,Ghaziabad,Delivered,349,4.18321E+12,2231394
Fair Akt Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,560043,449,Bangalore,Delivered,449,4.18321E+12,2231410
OMNICEUTICS CIRA SCREEN GEL SPF 50,COD,SONLENTERPRISES FRANCHISE,500034,998,Hyderabad,Delivered,998,4.18321E+12,2231338
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,500094,697,Hyderabad,Delivered,697,4.18321E+12,2231359
Sensitran Tooth Powder 100gm Pack Of 3,COD,SONLENTERPRISES FRANCHISE,400608,369,Thane,Delivered,369,4.18321E+12,2231360
MEPILEX Ag 10 10cm 287110,COD,SONLENTERPRISES FRANCHISE,518004,1280,Kurnool,Delivered,1280,4.18321E+12,2231358
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,721101,339,Midnapore,Delivered,339,4.18321E+12,2231380
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,110043,459,Delhi,Delivered,459,4.18321E+12,2231347
MEPILEX Ag 10 10cm 287110,COD,SONLENTERPRISES FRANCHISE,181201,1280,Akhnoor,Delivered,1280,4.18321E+12,2231399
Whit Care Skin Cream 25 gm PACK OF 2,COD,SONLENTERPRISES FRANCHISE,141010,3670,Ludhiana,Delivered,3670,4.18321E+12,2231298
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,524121,294,Sullurupeta,Delivered,294,4.18321E+12,2231334
Recute oil 100ml pack of 2,COD,SONLENTERPRISES FRANCHISE,560068,519,Bangalore,Delivered,519,4.18321E+12,2231384
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,563125,398,Chintamani,Delivered,398,4.18321E+12,2231373
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,400607,778,Thane,Delivered,778,4.18321E+12,2231383
EQUALS TWO in One Baby Wash 500ml,COD,SONLENTERPRISES FRANCHISE,421202,1169,Greater Thane,Delivered,1169,4.18321E+12,2231372
RESPONSE SYRUP 300ML,COD,SONLENTERPRISES FRANCHISE,531035,1250,Anakapalle,Delivered,1250,4.18321E+12,2231369
Dankare Gentle Shampoo 100 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,641024,279,Coimbatore,Delivered,279,4.18321E+12,2231355
ReeHair Advance Hair Growth Capsules 30`S,COD,SONLENTERPRISES FRANCHISE,600078,1469,Chennai,Delivered,1469,4.18321E+12,2231395
aktisoft moisturising lotion 150gm C akt ADVANCE VITAMN C SERUM 30 ML,COD,SONLENTERPRISES FRANCHISE,400005,1450,Mumbai,Delivered,1450,4.18321E+12,2231376
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,201014,899,Ghaziabad,Delivered,899,4.18321E+12,2231350
Dankare Gentle Shampoo 100 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,620003,279,Tiruchi,Delivered,279,4.18321E+12,2231370
Onon Ketoconazole Shampoo 50gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,765017,449,Raygada,Delivered,449,4.18321E+12,2231312
COGNI UP SYRUP 200ML Mango Flavour,COD,SONLENTERPRISES FRANCHISE,523357,1129,Giddalur,Delivered,1129,4.18321E+12,2231378
Haeroot Capsule,COD,SONLENTERPRISES FRANCHISE,226028,579,Lucknow,Delivered,579,4.18321E+12,2230712
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,560062,339,Bangalore,Delivered,339,4.18321E+12,2231342
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,500068,778,Hyderabad,Delivered,778,4.18321E+12,2231392
MEPILEX Ag 10 10cm 287110,COD,SONLENTERPRISES FRANCHISE,700152,1280,Kolkata,Delivered,1280,4.18321E+12,2231348
RADANT LITE MASQUE 50ML,COD,SONLENTERPRISES FRANCHISE,700055,1069,Kolkata,Delivered,1069,4.18321E+12,2231349
Recute Oil 100 ml prosit,COD,SONLENTERPRISES FRANCHISE,577004,1330,Davangere,Delivered,1330,4.18321E+12,2231339
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,501158,778,Tandur-TL,Delivered,778,4.18321E+12,2231385
