Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
OMNICEUTICS CIRA SCREEN GEL SPF 50,COD,SONLENTERPRISES FRANCHISE,577139,998.0,Sringeri,Delivered,998.0,4183210164172,2231536
Onon Ketoconazole Shampoo 50gm Pack of 3,COD,SONLENTERPRISES FRANCHISE,522309,1120.0,Ponnur,Delivered,1120.0,4183210164135,2231537
Salubri Moisturize lotion 200ml,COD,SONLENTERPRISES FRANCHISE,560036,1051.0,Bangalore,Delivered,1051.0,4183210163936,2231462
REMORIN CAPSULES pack of 3 3 X30 ,COD,SONLENTERPRISES FRANCHISE,384265,549.0,Patan,Delivered,549.0,4183210163881,2231504
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ml Pack of 2 Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,151001,579.0,Bathinda,Delivered,579.0,4183210163914,2231484
FCL AHA B PROX 10 FACE WASH,COD,SONLENTERPRISES FRANCHISE,781006,1146.0,Guwahati,Delivered,1146.0,4183210163730,2231458
Romsons Colostomy Kit 100 Spare Bags Pack Of 2 Adult,COD,SONLENTERPRISES FRANCHISE,690515,639.0,Haripad,Delivered,639.0,4183210163833,2231497
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,560049,697.0,Hoskote,Delivered,697.0,4183210164102,2231545
Ten on Ten Brain Wellness Tonic 200ml,COD,SONLENTERPRISES FRANCHISE,110034,1250.0,Delhi,Delivered,1250.0,4183210164054,2231506
WASA mousse 200ml,COD,SONLENTERPRISES FRANCHISE,570017,1100.0,Mysore,Delivered,1100.0,4183210163951,2231461
KZ Lotion 50 ml,COD,SONLENTERPRISES FRANCHISE,600062,383.0,Chennai,Delivered,383.0,4183210164043,2231513
Neocate LCP 400g,COD,SONLENTERPRISES FRANCHISE,387530,6670.0,Matar,Delivered,6670.0,4183210163752,2231485
ALBO SANG 400gm Pack Of 2,COD,SONLENTERPRISES FRANCHISE,474002,499.0,Gwalior,Delivered,499.0,4183210163612,2231457
STRETCH OIL 200 ml Pack Of 3,COD,SONLENTERPRISES FRANCHISE,560100,1150.0,Bangalore,Delivered,1150.0,4183210164010,2231525
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,560076,299.0,Bangalore,Delivered,299.0,4183210163973,2231532
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,560047,778.0,Bangalore,Delivered,778.0,4183210164076,2231535
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,508114,778.0,Ramannapeta,Delivered,778.0,4183210163984,2231530
Brain IQ Syrup 150ml,COD,SONLENTERPRISES FRANCHISE,533294,1265.0,Rajahmundry,Delivered,1265.0,4183210163855,2231489
Ducray Keracnyl foaming gel 100 ml,COD,SONLENTERPRISES FRANCHISE,144103,750.0,Adampur,Delivered,750.0,4183210163505,2231450
GLOSKIN SOAP 75G PACK OF 2,COD,SONLENTERPRISES FRANCHISE,571301,599.0,Nanjangud,Delivered,599.0,4183210163726,2231463
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,462047,339.0,Mandideep,Delivered,339.0,4183210163590,2231465
Dermadew Glow Face Wash,COD,SONLENTERPRISES FRANCHISE,520008,349.0,Vijayawada,Delivered,349.0,4183210163800,2231510
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,521126,697.0,Machilipatnam,Delivered,697.0,4183210163822,2231502
KabiBite mango flavour diskettes 250g,COD,SONLENTERPRISES FRANCHISE,400054,468.0,Mumbai,Delivered,468.0,4183210163741,2231453
OMNIFADE INTENSIVE BRIGHTENING AND DEPIGMENTING SERUM 30ML,COD,SONLENTERPRISES FRANCHISE,734001,1569.0,Siliguri,Delivered,1569.0,4183210163472,2231449
GRAZIA Up Skin Brightening Cream 30g,COD,SONLENTERPRISES FRANCHISE,283111,439.0,Fatehabad-UP,Delivered,439.0,4183210163424,2231444
STRETCH OIL Pack Of 2 100ml,COD,SONLENTERPRISES FRANCHISE,521286,539.0,Gannavaram,Delivered,539.0,4183210163796,2231512
RESPONSE SYRUP 300ML,COD,SONLENTERPRISES FRANCHISE,532421,689.0,Narasannapeta,Delivered,689.0,4183210163660,2231496
Onon Ketoconazole 2 Medicated Soap 75g Pack of 2,COD,SONLENTERPRISES FRANCHISE,560005,389.0,Bangalore,Delivered,389.0,4183210163693,2231487
Aktisoft Shower Gel 200ml,COD,SONLENTERPRISES FRANCHISE,515001,1180.0,Anantapur,Delivered,1180.0,4183210163763,2231516
Nestle HealthScience Peptamen Vanilla Flavour 400gm,COD,SONLENTERPRISES FRANCHISE,788710,1469.0,Karimganj,Delivered,1469.0,4183210163096,2231413
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,500074,417.0,Hyderabad,Delivered,417.0,4183210164006,2231527
OZIEL SG 50 SUNSCREEN LOTION,COD,SONLENTERPRISES FRANCHISE,122011,449.0,Gurgaon,Delivered,449.0,4183210163575,2231471
ReeHair Advance Hair Growth Capsules 30`S,COD,SONLENTERPRISES FRANCHISE,400080,1469.0,Mumbai,Delivered,1469.0,4183210163645,2231464
UVSkrin SS SPF30 50gm,COD,SONLENTERPRISES FRANCHISE,614102,809.0,Mannargudi,Delivered,809.0,4183210163516,2231451
ReeHair Advance Hair Growth Capsules 30`S,COD,SONLENTERPRISES FRANCHISE,400072,2868.0,Mumbai,Delivered,2868.0,4183210163155,2231420
Dewmoiz Moisturising soap 75gms pack of 2,COD,SONLENTERPRISES FRANCHISE,500081,655.0,Hyderabad,Delivered,655.0,4183210161814,2231268
ECGLOW G SOAP 75 G,COD,SONLENTERPRISES FRANCHISE,522508,666.0,Guntur,Delivered,666.0,4183210163376,2231440
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,440022,778.0,Nagpur,Delivered,778.0,4183210163413,2231447
Onon Ketoconazole Shampoo 50gm Pack of 3,COD,SONLENTERPRISES FRANCHISE,500039,624.0,Hyderabad,Delivered,624.0,4183210163656,2231501
Similac Total Comfort Infant Formula 350 g by Similac,COD,SONLENTERPRISES FRANCHISE,712306,894.0,Dankuni,Delivered,894.0,4183210163332,2231428
RESPONSE SYRUP 300ML,COD,SONLENTERPRISES FRANCHISE,760001,689.0,Behrampur,Delivered,689.0,4183210163402,2231427
Similac Total Comfort Infant Formula 350 g by Similac,COD,SONLENTERPRISES FRANCHISE,124001,4045.0,Rohtak,Delivered,4045.0,4183210163225,2231426
Sunbless Gel SPF50 60Gm,COD,SONLENTERPRISES FRANCHISE,133205,715.0,Ambala,Delivered,715.0,4183210163251,2231431
