Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Whit Care Skin Cream 25 gm PACK OF 2,COD,SONLENTERPRISES FRANCHISE,305001,399.0,Ajmer,Delivered,399.0,4183210164673,2231616
CFIZZ ORANGE FLAVOUR 20TABLETS,COD,SONLENTERPRISES FRANCHISE,175126,464.0,Kullu,Delivered,464.0,4183210164732,2231625
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,711102,459.0,Howrah,Delivered,459.0,4183210164872,2231619
WHIT CARE CAPSULES 80 CAPS,COD,SONLENTERPRISES FRANCHISE,632514,579.0,Sholinghur,Delivered,579.0,4183210165012,2231640
Whit Care Skin Cream 25 gm PACK OF 2,COD,SONLENTERPRISES FRANCHISE,144205,399.0,Dasuya,Delivered,399.0,4183210164511,2231602
OMNIFADE INTENSIVE BRIGHTENING AND DEPIGMENTING SERUM 30ML,COD,SONLENTERPRISES FRANCHISE,509001,1569.0,Mahabubnagar,Delivered,1569.0,4183210165104,2231653
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,843122,499.0,Saraiya,Delivered,499.0,4183210164614,2231587
Juene Hair Oil 100ml Keraglo Eva 30 Tablets,COD,SONLENTERPRISES FRANCHISE,360005,1094.0,Rajkot,Delivered,1094.0,4183210164743,2231623
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,201001,459.0,Ghaziabad,Delivered,459.0,4183210164894,2231563
Purilon Gel 8g 3906 Pack Of 2,COD,SONLENTERPRISES FRANCHISE,606601,573.0,Tiruvannamalai,Delivered,573.0,4183210164916,2231634
UVSkrin SS SPF50 50gm,COD,SONLENTERPRISES FRANCHISE,110009,1690.0,Delhi,Delivered,1690.0,4183210164846,2231628
Aktisoft Shower Gel 200ml,COD,SONLENTERPRISES FRANCHISE,501141,469.0,Tandur-TL,Delivered,469.0,4183210164975,2231645
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,400059,1070.0,Mumbai,Delivered,1070.0,4183210164850,2231627
Kabimmune Plus Sachet orange flavour 15gm Pack Of 2,COD,SONLENTERPRISES FRANCHISE,413512,1204.0,Latur,Delivered,1204.0,4183210164780,2231626
Fresubin Meal Replacement Powder Vanilla 400Gm,COD,SONLENTERPRISES FRANCHISE,110091,2454.0,Delhi,Delivered,2454.0,4183210164721,2231574
Whit Care Skin Treatment Lotion 100 ml pack of 2,COD,SONLENTERPRISES FRANCHISE,700023,399.0,Kolkata,Delivered,399.0,4183210164555,2231596
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,230401,459.0,Patti-UP,Delivered,459.0,4183210164231,2231553
BRAIN UP Mango Flavour 150ml,COD,SONLENTERPRISES FRANCHISE,496001,2164.0,Raigarh,Delivered,2164.0,4183210164603,2231599
Ana Hair 30 Tablets,COD,SONLENTERPRISES FRANCHISE,400612,1255.0,Thane,Delivered,1255.0,4183210164684,2231615
Response Pain Reliever Oil 100ml,COD,SONLENTERPRISES FRANCHISE,518122,509.0,Banaganapalli,Delivered,509.0,4183210164813,2231632
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,440010,579.0,Nagpur,Delivered,579.0,4183210164662,2231618
Ana Hair 30 Tablets,COD,SONLENTERPRISES FRANCHISE,500055,1255.0,Hyderabad,Delivered,1255.0,4183210164706,2231611
Whit Care Skin Cream 25 gm PACK OF 2,COD,SONLENTERPRISES FRANCHISE,201310,399.0,Noida,Delivered,399.0,4183210164533,2231600
KOZEL FACE WASH,COD,SONLENTERPRISES FRANCHISE,851134,298.0,Begusarai,Delivered,298.0,4183210164220,2231554
Cicatrix Cream 15ml,COD,SONLENTERPRISES FRANCHISE,500062,2460.0,Hyderabad,Delivered,2460.0,4183210164765,2231610
Anuraag First Aid Kit mini,COD,SONLENTERPRISES FRANCHISE,682307,389.0,Cochin,Delivered,389.0,4183210164640,2231606
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,400093,459.0,Mumbai,Delivered,459.0,4183210164500,2231603
BRAIN UP Mango Flavour 150ml,COD,SONLENTERPRISES FRANCHISE,799001,3211.0,Agartala,Delivered,3211.0,4183210163100,2231326
C akt ADVANCE VITAMN C SERUM 30 ML,COD,SONLENTERPRISES FRANCHISE,560093,1089.0,Bangalore,Delivered,1089.0,4183210164382,2231584
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,500060,417.0,Hyderabad,Delivered,417.0,4183210164931,2231638
BRAIN UP Mango Flavour 150ml,COD,SONLENTERPRISES FRANCHISE,560076,1117.0,Bangalore,Delivered,1117.0,4183210164592,2231605
aktisoft moisturising lotion 150gm,COD,SONLENTERPRISES FRANCHISE,560016,489.0,Bangalore,Delivered,489.0,4183210164430,2231570
Nicotex Tin Mint Plus Flavour Pack Of 6,COD,SONLENTERPRISES FRANCHISE,575022,1025.0,Ullal,Delivered,1025.0,4183210164441,2231552
STRETCH OIL 200 ml Pack Of 3,COD,SONLENTERPRISES FRANCHISE,535204,1150.0,Bhogapuram,Delivered,1150.0,4183210164566,2231592
