Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Response Pain Reliever Oil 100ml,COD,SONLENTERPRISES FRANCHISE,500055,509.0,Hyderabad,Delivered,509.0,4183210164522,2231601
P soft soap 100gm pack of 2,COD,SONLENTERPRISES FRANCHISE,518301,397.0,Adoni,Delivered,397.0,4183210165771,2231729
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,501359,778.0,Kadthal,Delivered,778.0,4183210165690,2231718
Promepro Multivitamin Gummies Orange And Mixed Fruit Flavour 30Gummies,COD,SONLENTERPRISES FRANCHISE,700124,995.0,Barasat,Delivered,995.0,4183210165616,2231654
Ice Gel 25 g Pack of 4,COD,SONLENTERPRISES FRANCHISE,700055,397.0,Kolkata,Delivered,397.0,4183210165594,2231694
Dankare Gentle Shampoo 100 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,603202,279.0,Chennai,Delivered,279.0,4183210165760,2231726
Hair Active Serum Gel,COD,SONLENTERPRISES FRANCHISE,751002,529.0,Bhubaneshwar,Delivered,529.0,4183210165642,2231706
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,273162,339.0,Brijmanganj,Delivered,339.0,4183210165174,2231667
P soft soap 100gm pack of 2,COD,SONLENTERPRISES FRANCHISE,532001,695.0,Srikakulam,Delivered,695.0,4183210165620,2231708
aktisoft moisturising lotion 150gm,COD,SONLENTERPRISES FRANCHISE,600126,489.0,Chennai,Delivered,489.0,4183210165572,2231700
Tressgro Hair Serum 90ML,COD,SONLENTERPRISES FRANCHISE,412114,949.0,Pune,Delivered,949.0,4183210165723,2231723
Onon Ketoconazole Shampoo 50gm Pack of 3,COD,SONLENTERPRISES FRANCHISE,247667,624.0,Roorkee,Delivered,624.0,4183210165270,2231680
KabiBite mango flavour diskettes 250g,COD,SONLENTERPRISES FRANCHISE,495006,837.0,Bilaspur,Delivered,837.0,4183210165653,2231689
TRIMZIT ACNE GEL 60ml,COD,SONLENTERPRISES FRANCHISE,560056,424.0,Bangalore,Delivered,424.0,4183210165734,2231713
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,500001,339.0,Hyderabad,Delivered,339.0,4183210165255,2231682
REMORIN CAPSULES pack of 3 3 X30 ,COD,SONLENTERPRISES FRANCHISE,530041,549.0,Visakhapatnam,Delivered,549.0,4183210165712,2231722
Sensitran Toothpaste 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,500051,459.0,Hyderabad,Delivered,459.0,4183210165071,2231657
Topgrip Cotton and Rubber Elastic BandaGE B P 15cm X 4cm,COD,SONLENTERPRISES FRANCHISE,670645,849.0,Mananthavadi,Delivered,849.0,4183210165561,2231701
Hairguard PH 55 Shampoo 125ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,305001,621.0,Ajmer,Delivered,621.0,4183210165432,2231695
Dewmoiz Moisturising soap 75gms pack of 2,COD,SONLENTERPRISES FRANCHISE,521110,377.0,Pedapadu,Delivered,377.0,4183210165686,2231710
STRETCH OIL 200 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,505001,819.0,Karim Nagar,Delivered,819.0,4183210165583,2231699
KabiBite mango flavour diskettes 250g,COD,SONLENTERPRISES FRANCHISE,743129,837.0,Naihati,Delivered,837.0,4183210165222,2231652
KabiBite mango flavour diskettes 250g,COD,SONLENTERPRISES FRANCHISE,831011,468.0,Jamshedpur,Delivered,468.0,4183210165362,2231674
OMNICEUTICS CIRA SCREEN GEL SPF 50,COD,SONLENTERPRISES FRANCHISE,781025,1868.0,Guwahati,Delivered,1868.0,4183210164942,2231588
Whit Care Skin Cream 25 gm PACK OF 2,COD,SONLENTERPRISES FRANCHISE,171006,399.0,Shimla,Delivered,399.0,4183210165244,2231683
Whit Care Skin Treatment Lotion 100 ml pack of 2,COD,SONLENTERPRISES FRANCHISE,751002,399.0,Bhubaneshwar,Delivered,399.0,4183210165476,2231685
melapik plus cream 20g,COD,SONLENTERPRISES FRANCHISE,500055,479.0,Hyderabad,Delivered,479.0,4183210165605,2231693
Lipbless Cream,COD,SONLENTERPRISES FRANCHISE,695008,394.0,Thiruvananthapuram,Delivered,394.0,4183210165502,2231662
Acnewin FACE WASH 70g PACK OF 2,COD,SONLENTERPRISES FRANCHISE,583104,479.0,Bellary,Delivered,479.0,4183210165664,2231673
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,787059,459.0,Silapathar,Delivered,459.0,4183210164861,2231620
MEPILEX Ag 10 10cm 287110,COD,SONLENTERPRISES FRANCHISE,110015,1280.0,Delhi,Delivered,1280.0,4183210165196,2231664
Zinc Paste Bandage Z Paste,COD,SONLENTERPRISES FRANCHISE,272002,659.0,Basti,Delivered,659.0,4183210164802,2231624
Aktisoft GC moisturising Cream 150g,COD,SONLENTERPRISES FRANCHISE,411036,679.0,Pune,Delivered,679.0,4183210165443,2231630
