Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
WHIT CARE 40CAPSULES,COD,SONLENTERPRISES FRANCHISE,686011,379,Kottayam,Delivered,379,4.18321E+12,2231922
Biatain Ag Non Adhesive 10 X 10 Cm 39622,COD,SONLENTERPRISES FRANCHISE,403530,935,Goa,Delivered,935,4.18321E+12,2231851
Whit Care Skin Cream 25 gm PACK OF 2,COD,SONLENTERPRISES FRANCHISE,212622,699,Khaga,Delivered,699,4.18321E+12,2231822
TRIMZIT FACE WASH 100ml,COD,SONLENTERPRISES FRANCHISE,500070,855,Hyderabad,Delivered,855,4.18321E+12,2231945
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,281306,819,Hathras,Delivered,819,4.18321E+12,2231856
Sensitran Toothpaste 100gm Pack Of 2 Sensitran Tooth Powder 100gm Pack Of 2,COD,SONLENTERPRISES FRANCHISE,282005,499,Agra,Delivered,499,4.18321E+12,2231912
Hollister 27760 70mm Tandem Drainable Pouch 1,COD,SONLENTERPRISES FRANCHISE,700028,1516,Kolkata,Delivered,1516,4.18321E+12,2231896
ETHIGLO FACE WASH 70G,COD,SONLENTERPRISES FRANCHISE,190005,324,Srinagar,Delivered,324,4.18321E+12,2231894
Brain IQ Syrup 150ml,COD,SONLENTERPRISES FRANCHISE,533101,1146,Rajahmundry,Delivered,1146,4.18321E+12,2231919
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,201002,219,Ghaziabad,Delivered,219,4.18321E+12,2231862
UVSkrin SS SPF50 50gm,COD,SONLENTERPRISES FRANCHISE,400101,1690,Mumbai,Delivered,1690,4.18321E+12,2231855
Ana Hair 30 Tablets,COD,SONLENTERPRISES FRANCHISE,431517,1255,Ambajogai,Delivered,1255,4.18321E+12,2231895
KabiBite mango flavour diskettes 250g,COD,SONLENTERPRISES FRANCHISE,743129,763,Naihati,Delivered,763,4.18321E+12,2231857
Nexpro Junior 1G Sachet 10 Sachet ,COD,SONLENTERPRISES FRANCHISE,389151,315,Dahod,Delivered,315,4.18321E+12,2231797
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,530016,637,Visakhapatnam,Delivered,637,4.18321E+12,2231867
