Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
ECGLOWG 10 TABLETS,COD,SONLENTERPRISES FRANCHISE,206244,474.0,Bidhuna,Delivered,474.0,4183210167952,2232011
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,474011,279.0,Gwalior,Delivered,279.0,4183210167731,2231965
TRIMZIT FACE WASH 100ml,COD,SONLENTERPRISES FRANCHISE,560099,477.0,Bangalore,Delivered,477.0,4183210168173,2232030
BRAIN UP Mango Flavour 150ml,COD,SONLENTERPRISES FRANCHISE,700077,1117.0,Kolkata,Delivered,1117.0,4183210168206,2232040
Oilatum Kids Bar Soap 50g Pack of 2,COD,SONLENTERPRISES FRANCHISE,854203,306.0,Bhawanipur Rajdham,Delivered,306.0,4183210167996,2232003
Hair Active Serum Gel,COD,SONLENTERPRISES FRANCHISE,678613,529.0,Akaloor,Delivered,529.0,4183210168243,2232037
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,390013,499.0,Vadodara,Delivered,499.0,4183210168232,2232035
Samahan Powder Sachets 50s,COD,SONLENTERPRISES FRANCHISE,211008,1089.0,Allahabad,Delivered,1089.0,4183210167941,2231958
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,534201,697.0,Bhimavaram,Delivered,697.0,4183210167646,2231988
REMORIN CAPSULES pack of 3 3 X30 ,COD,SONLENTERPRISES FRANCHISE,142049,2320.0,Bagha purana,Delivered,2320.0,4183210168011,2231968
Anaboom Shampoo anti dandruff shampoo 100ml,COD,SONLENTERPRISES FRANCHISE,396105,458.0,Bhilad,Delivered,458.0,4183210167591,2231973
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,110059,459.0,Delhi,Delivered,459.0,4183210168081,2232016
FIXDERMA SRAISOFT LILAC 100G,COD,SONLENTERPRISES FRANCHISE,841504,239.0,Raghunathpur-BR,Delivered,239.0,4183210167915,2231984
Reviglow Fariness Face Wash 100 ml,COD,SONLENTERPRISES FRANCHISE,500072,598.0,Hyderabad,Delivered,598.0,4183210168195,2232041
RIPANTO OINTMENT PACK OF 5 ,COD,SONLENTERPRISES FRANCHISE,686544,849.0,Ranni,Delivered,849.0,4183210168125,2232019
RIPANTO OINTMENT PACK OF 5 ,COD,SONLENTERPRISES FRANCHISE,686544,849.0,Ranni,Delivered,849.0,4183210168136,2232017
