Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Stretch Oil 200 ml,COD,SONLENTERPRISES FRANCHISE,504310,459.0,Nirmal,Delivered,459.0,4183210169540,2232180
Dewmoiz Moisturising soap 75gms pack of 2,COD,SONLENTERPRISES FRANCHISE,535501,377.0,Parvathipuram,Delivered,377.0,4183210169422,2232168
CITRIFIZ ORANGE Vitamin C and Citrus Bioflavonoid Effervescent Tablets 20,COD,SONLENTERPRISES FRANCHISE,515291,477.0,Madakasira,Delivered,477.0,4183210169536,2232182
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,560073,339.0,Bangalore,Delivered,339.0,4183210169562,2232185
aktisoft moisturising Bar pack of 3 100GM,COD,SONLENTERPRISES FRANCHISE,533220,639.0,Sunkara Palem,Delivered,639.0,4183210169503,2232188
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,500075,398.0,Shankarpalle,Delivered,398.0,4183210169466,2232175
WHIT CARE 40CAPSULES,COD,SONLENTERPRISES FRANCHISE,201303,799.0,Noida,Delivered,799.0,4183210169315,2232162
Tressgro Hair Serum 90ML Pack Of 2,COD,SONLENTERPRISES FRANCHISE,583231,1770.0,Koppal,Delivered,1770.0,4183210169396,2232164
ARBORIUM PLUS 300ML SYRUP PACK OF 4,COD,SONLENTERPRISES FRANCHISE,444105,1780.0,Karanja,Delivered,1780.0,4183210169352,2232163
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,700044,819.0,Kolkata,Delivered,819.0,4183210169186,2232142
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,575002,459.0,Mangalore,Delivered,459.0,4183210169223,2232160
Magidruff Anti Dandruff Shampoo 100ML pack of 2,COD,SONLENTERPRISES FRANCHISE,520012,612.0,Vijayawada,Delivered,612.0,4183210168862,2232138
Ana Hair 30 Tablets ANAHAIR NANO SERUM 30ML,COD,SONLENTERPRISES FRANCHISE,400078,3655.0,Mumbai,Delivered,3655.0,4183210169131,2232139
REMORIN CAPSULES pack of 3 3 X30 ,COD,SONLENTERPRISES FRANCHISE,282001,2320.0,Agra,Delivered,2320.0,4183210168884,2232134
UV Care Lite Skin Lightenning Formula SPF30 50gm,COD,SONLENTERPRISES FRANCHISE,380007,744.0,Ahmedabad,Delivered,744.0,4183210168980,2232069
STRETCH OIL Pack Of 2 100ml,COD,SONLENTERPRISES FRANCHISE,521324,539.0,Machilipatnam,Delivered,539.0,4183210169142,2232141
Aktisoft Moisturising bar 100GM PACK OF 2,COD,SONLENTERPRISES FRANCHISE,521201,459.0,Nuzvid,Delivered,459.0,4183210168943,2232124
clearwin soap Soap spots acne 75gm each gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,570022,270.0,Mysore,Delivered,270.0,4183210169363,2232161
Sensitran Tooth Powder 100gm Pack Of 3,COD,SONLENTERPRISES FRANCHISE,431513,399.0,Hingoli,Delivered,399.0,4183210169260,2232149
TRIMZIT FACE WASH 100ml,COD,SONLENTERPRISES FRANCHISE,500094,477.0,Hyderabad,Delivered,477.0,4183210169374,2232166
ARBORIUM PLUS 300ML SYRUP PACK OF 4,COD,SONLENTERPRISES FRANCHISE,411028,1780.0,Pune,Delivered,1780.0,4183210169304,2232119
Whit Care Skin Treatment Lotion 100 ml pack of 3,COD,SONLENTERPRISES FRANCHISE,110062,999.0,Delhi,Delivered,999.0,4183210168965,2232115
WASA mousse 200ml,COD,SONLENTERPRISES FRANCHISE,685584,614.0,Thodupuzha,Delivered,614.0,4183210168873,2232136
P soft soap 100gm pack of 2,COD,SONLENTERPRISES FRANCHISE,401305,695.0,Mumbai,Delivered,695.0,4183210168781,2232106
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,522410,778.0,Achampet-AP,Delivered,778.0,4183210169326,2232153
Salubri Moisturizing Lotion 200 ml pack of 2,COD,SONLENTERPRISES FRANCHISE,585101,956.0,Gulbarga,Delivered,956.0,4183210169341,2232165
MEPILEX Ag 10 10cm 287110,COD,SONLENTERPRISES FRANCHISE,700119,2490.0,Barrackpore,Delivered,2490.0,4183210168803,2232075
STRETCH OIL 200 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,500091,819.0,Hyderabad,Delivered,819.0,4183210169271,2232148
Hairguard PH 55 Shampoo 125ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,509125,1114.0,Gadwal,Delivered,1114.0,4183210169175,2232143
