Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,523272,778,Ongole,Delivered,778,4.18321E+12,2232315
DESMA 1010 Tabs For Asthma,COD,SONLENTERPRISES FRANCHISE,132103,259,Panipat,Delivered,259,4.18321E+12,2232317
Ensure Chocolate Flavour 400 gm,COD,SONLENTERPRISES FRANCHISE,206122,719,Auraiya,Delivered,719,4.18321E+12,2232277
Zinc Paste Bandage Z Paste,COD,SONLENTERPRISES FRANCHISE,500008,659,Hyderabad,Delivered,659,4.18321E+12,2232424
REMORIN CAPSULES pack of 3 3 X30 ,COD,SONLENTERPRISES FRANCHISE,844120,549,Muzaffarpur,Delivered,549,4.18321E+12,2232302
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,751030,219,Bhubaneshwar,Delivered,219,4.18321E+12,2232383
Onon Ketoconazole Shampoo 50gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,603306,449,Melmaruvathur,Delivered,449,4.18321E+12,2232357
Ensure Peptide Powder Vanilla Flavor 400gm,COD,SONLENTERPRISES FRANCHISE,600024,1395,Chennai,Delivered,1395,4.18321E+12,2232387
RESPONSE SYRUP 300ML,COD,SONLENTERPRISES FRANCHISE,521002,3020,Machilipatnam,Delivered,3020,4.18321E+12,2232389
Trichobest Scalp Oil 100 ml,COD,SONLENTERPRISES FRANCHISE,752050,497,Khurdha,Delivered,497,4.18321E+12,2232295
ReeHair Advance Hair Growth Capsules 30`S,COD,SONLENTERPRISES FRANCHISE,625009,1469,Madurai,Delivered,1469,4.18321E+12,2232400
Hairguard PH 55 Shampoo 125ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,635303,1114,Harur,Delivered,1114,4.18321E+12,2232398
Glutathione Ralgyz Softgel Capsules Pack of 15 casp,COD,SONLENTERPRISES FRANCHISE,208011,1445,Kanpur,Delivered,1445,4.18321E+12,2232307
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,509210,294,Narayanpet,Delivered,294,4.18321E+12,2232403
Magidruff Anti Dandruff Shampoo 100ML,COD,SONLENTERPRISES FRANCHISE,110017,327,Delhi,Delivered,327,4.18321E+12,2232364
Skyfiz Sugar Free Effervescent Tablet 20 s,COD,SONLENTERPRISES FRANCHISE,201306,1765,Noida,Delivered,1765,4.18321E+12,2232332
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,500059,778,Hyderabad,Delivered,778,4.18321E+12,2232404
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,560050,778,Bangalore,Delivered,778,4.18321E+12,2232392
Aktisoft Shower Gel 200ml,COD,SONLENTERPRISES FRANCHISE,560083,469,Bangalore,Delivered,469,4.18321E+12,2232391
Hairguard PH 55 Shampoo 125ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,700054,621,Kolkata,Delivered,621,4.18321E+12,2232334
Norma Silicone Gel Sheets 10cm X 10cm,COD,SONLENTERPRISES FRANCHISE,713359,4862,Asansol,Delivered,4862,4.18321E+12,2232328
MEPILEX Ag 10 10cm 287110,COD,SONLENTERPRISES FRANCHISE,518004,2490,Kurnool,Delivered,2490,4.18321E+12,2232379
Whit Care Skin Cream 25 gm PACK OF 2,COD,SONLENTERPRISES FRANCHISE,144623,699,Nakodar,Delivered,699,4.18321E+12,2232335
Onon Ketoconazole 2 Medicated Soap 75g Pack of 2,COD,SONLENTERPRISES FRANCHISE,758001,389,Kendujhar,Delivered,389,4.18321E+12,2232312
Response Pain Reliever Oil 80ml,COD,SONLENTERPRISES FRANCHISE,506004,509,Warangal,Delivered,509,4.18321E+12,2232340
RESPONSE SYRUP 300ML,COD,SONLENTERPRISES FRANCHISE,767062,1250,Birmaharajpur,Delivered,1250,4.18321E+12,2232333
Mediclin soap pack of 3,COD,SONLENTERPRISES FRANCHISE,302001,489,Jaipur,Delivered,489,4.18321E+12,2232261
Norma Silicone Gel Sheets 10cm X 10cm,COD,SONLENTERPRISES FRANCHISE,532218,2466,Palasa,Delivered,2466,4.18321E+12,2232316
Ahaglow Face Wash 200gm pack of 2,COD,SONLENTERPRISES FRANCHISE,603108,1193,Thiruporur,Delivered,1193,4.18321E+12,2232327
POLLUGAURD SPF 35 PA 60G SUNSCREEN GEL,COD,SONLENTERPRISES FRANCHISE,560073,699,Bangalore,Delivered,699,4.18321E+12,2232339
TRICHOGROW SHAMPOO 150ML PACK OF 2,COD,SONLENTERPRISES FRANCHISE,506002,1428,Warangal,Delivered,1428,4.18321E+12,2232299
Vit Cal Hair Oil 100 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,605003,459,Pondicherry,Delivered,459,4.18321E+12,2232314
BRAIN UP Mango Flavour 150ml,COD,SONLENTERPRISES FRANCHISE,560076,1117,Bangalore,Delivered,1117,4.18321E+12,2232345
YUZDEW MOISTURIZING CREAM 200G,COD,SONLENTERPRISES FRANCHISE,421306,347,Greater Thane,Delivered,347,4.18321E+12,2232311
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,534447,697,Jangareddygudem,Delivered,697,4.18321E+12,2232354
Rematin IBD powder vanilla flavour 400gm,COD,SONLENTERPRISES FRANCHISE,785001,1850,Jorhat,Delivered,1850,4.18321E+12,2232260
C akt ADVANCE VITAMN C SERUM 30 ML,COD,SONLENTERPRISES FRANCHISE,520008,1089,Vijayawada,Delivered,1089,4.18321E+12,2232341
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,500047,417,Hyderabad,Delivered,417,4.18321E+12,2232342
Remoiz Cream Urea 100 gm Pack Of 2,COD,SONLENTERPRISES FRANCHISE,332001,469,Sikar,Delivered,469,4.18321E+12,2232264
Dreamlite Face Wash 100 ml Pack Of 2 Dermadew face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,520008,687,Vijayawada,Delivered,687,4.18321E+12,2232329
Dewmoiz Moisturising cream 100mL,COD,SONLENTERPRISES FRANCHISE,521126,697,Machilipatnam,Delivered,697,4.18321E+12,2232280
FACEMOIST CREAM 60G Aktisoft GC moisturising Cream 150g,COD,SONLENTERPRISES FRANCHISE,521230,729,Mylavaram,Delivered,729,4.18321E+12,2232303
Aktisoft GC moisturising Cream 150 g pack Pack Of 2,COD,SONLENTERPRISES FRANCHISE,500050,1310,Hyderabad,Delivered,1310,4.18321E+12,2232321
