Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,306401,339.0,Pali,Delivered,339.0,4183210174672,2232588
Recute Oil 100 ml prosit,COD,SONLENTERPRISES FRANCHISE,560068,1120.0,Bangalore,Delivered,1120.0,4183210174786,2232630
aktisoft moisturising Bar pack of 3 100GM,COD,SONLENTERPRISES FRANCHISE,560083,639.0,Bangalore,Delivered,639.0,4183210174731,2232589
Albumen Care Advance Mango Flavour 400g,COD,SONLENTERPRISES FRANCHISE,723145,1379.0,Para,Delivered,1379.0,4183210174613,2232581
YLIS Face Wash rejuvenating AND luminating 100g,COD,SONLENTERPRISES FRANCHISE,241204,689.0,Sandila,Delivered,689.0,4183210174506,2232546
C akt ADVANCE VITAMN C SERUM 30 ML,COD,SONLENTERPRISES FRANCHISE,560078,1089.0,Bangalore,Delivered,1089.0,4183210174790,2232625
aktisoft moisturising Bar pack of 3 100GM,COD,SONLENTERPRISES FRANCHISE,505325,1150.0,Metpally,Delivered,1150.0,4183210174860,2232617
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,472001,339.0,Tikamgarh,Delivered,339.0,4183210174462,2232554
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,501506,489.0,Ibrahimpatnam,Delivered,489.0,4183210174823,2232611
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,242001,499.0,Shahjahanpur,Delivered,499.0,4183210174576,2232578
TRICHOGROW SHAMPOO 150ML PACK OF 2,COD,SONLENTERPRISES FRANCHISE,505001,1428.0,Karim Nagar,Delivered,1428.0,4183210174694,2232614
Vit Cal Hair Oil 200ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,583231,799.0,Koppal,Delivered,799.0,4183210174705,2232613
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,505445,417.0,Gangadhara,Delivered,417.0,4183210174602,2232564
Fair Akt Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,503308,449.0,Metpally,Delivered,449.0,4183210174742,2232571
Sensitran Toothpaste 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,500019,1270.0,Hyderabad,Delivered,1270.0,4183210174322,2232544
SUNBAN FORTE CREAM 60gm pack of 2 Dermadew Face Wash 100 ml pack of 3 Dewska Baby Soap 75g Pack Of 2,COD,SONLENTERPRISES FRANCHISE,502032,2004.0,Hyderabad,Delivered,2004.0,4183210174661,2232598
Onon Ketoconazole 2 Medicated Soap 75g Pack of 2,COD,SONLENTERPRISES FRANCHISE,208001,679.0,Kanpur,Delivered,679.0,4183210174440,2232560
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,380054,339.0,Ahmedabad,Delivered,339.0,4183210174580,2232576
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,110031,339.0,Delhi,Delivered,339.0,4183210174370,2232534
Dew On moisturing bar PACK oF 4,COD,SONLENTERPRISES FRANCHISE,500089,659.0,Hyderabad,Delivered,659.0,4183210174624,2232583
Effervit Tablet 15 tablets,COD,SONLENTERPRISES FRANCHISE,620018,479.0,Tiruchi,Delivered,479.0,4183210174646,2232555
Psorolin Ointment 75gm,COD,SONLENTERPRISES FRANCHISE,793001,1078.0,Shillong,Delivered,1078.0,4183210174226,2232515
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,140301,339.0,Mohali,Delivered,339.0,4183210174366,2232535
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,560037,1428.0,Bangalore,Delivered,1428.0,4183210174311,2232547
Kushal Kanthil 5gm Pack of 6,COD,SONLENTERPRISES FRANCHISE,500036,819.0,Hyderabad,Delivered,819.0,4183210174554,2232557
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,509301,778.0,Jadcherla,Delivered,778.0,4183210174565,2232579
