Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,403602,339.0,Goa,Delivered,339.0,4183210174801,2232624
GLAMUS CREAM,COD,SONLENTERPRISES FRANCHISE,846004,574.0,Darbhanga,Delivered,574.0,4183210174495,2232551
Onon Ketoconazole 2 Medicated Soap 75g Pack of 2,COD,SONLENTERPRISES FRANCHISE,767001,389.0,Balangir,Delivered,389.0,4183210174812,2232621
RESPONSE SYRUP 300ML,COD,SONLENTERPRISES FRANCHISE,506001,689.0,Warangal,Delivered,689.0,4183210175011,2232635
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,504311,778.0,Utnoor,Delivered,778.0,4183210175173,2232677
OMNIFADE INTENSIVE BRIGHTENING AND DEPIGMENTING SERUM 30ML,COD,SONLENTERPRISES FRANCHISE,585201,1569.0,Yadgir,Delivered,1569.0,4183210175184,2232664
Vit Cal Hair Oil 200ml,COD,SONLENTERPRISES FRANCHISE,500044,799.0,Hyderabad,Delivered,799.0,4183210174893,2232631
aktisoft moisturising lotion 150gm,COD,SONLENTERPRISES FRANCHISE,501506,489.0,Ibrahimpatnam,Delivered,489.0,4183210175195,2232663
TAIYU Sunscreen Aqua Gel SPF50 60gm,COD,SONLENTERPRISES FRANCHISE,786001,759.0,Dibrugarh,Delivered,759.0,4183210174414,2232529
P soft soap 100gm pack of 2,COD,SONLENTERPRISES FRANCHISE,411052,695.0,Pune,Delivered,695.0,4183210174856,2232622
STRETCH OIL 200 ml Pack Of 3,COD,SONLENTERPRISES FRANCHISE,621804,1150.0,Jayankondam,Delivered,1150.0,4183210174963,2232638
Root in serum 60ML,COD,SONLENTERPRISES FRANCHISE,411009,898.0,Pune,Delivered,898.0,4183210174904,2232627
Onon Ketoconazole 2 Medicated Soap 75g Pack of 2,COD,SONLENTERPRISES FRANCHISE,521137,389.0,Vijayawada,Delivered,389.0,4183210175022,2232634
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,160071,1428.0,Mohali,Delivered,1428.0,4183210174775,2232619
