Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Onon Ketoconazole Shampoo 50gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,535004,449.0,Vizianagaram,Delivered,449.0,4183210177015,2232887
Whit Care Skin Treatment Lotion 100 ml pack of 2,COD,SONLENTERPRISES FRANCHISE,370205,399.0,Gandhidham,Delivered,399.0,4183210177085,2232824
Dew On moisturing bar PACK oF 4,COD,SONLENTERPRISES FRANCHISE,505209,659.0,Ramagundam,Delivered,659.0,4183210177564,2232945
Lysil Gel 10gm,COD,SONLENTERPRISES FRANCHISE,400091,749.0,Mumbai,Delivered,749.0,4183210177553,2232933
Trichobest Scalp Oil 100 ml,COD,SONLENTERPRISES FRANCHISE,302033,497.0,Jaipur,Delivered,497.0,4183210177225,2232913
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,249401,579.0,Haridwar,Delivered,579.0,4183210177111,2232891
velfour kit A 880001 18 25cm,COD,SONLENTERPRISES FRANCHISE,533450,987.0,Samarlakota,Delivered,987.0,4183210177704,2232952
STRETCH OIL Pack Of 2 100ml,COD,SONLENTERPRISES FRANCHISE,521286,539.0,Gannavaram,Delivered,539.0,4183210177660,2232959
Hairguard PH 55 Shampoo 125ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,560036,1114.0,Bangalore,Delivered,1114.0,4183210177155,2232897
Onon Ketoconazole 2 Medicated Soap 75g Pack of 2,COD,SONLENTERPRISES FRANCHISE,494441,389.0,Dantewada,Delivered,389.0,4183210177575,2232934
ReeBright Cream 30g,COD,SONLENTERPRISES FRANCHISE,560045,484.0,Bangalore,Delivered,484.0,4183210177763,2232962
OZIEL SG 50 SUNSCREEN LOTION,COD,SONLENTERPRISES FRANCHISE,831004,449.0,Jamshedpur,Delivered,449.0,4183210176772,2232881
OZIEL SG 50 SUNSCREEN LOTION,COD,SONLENTERPRISES FRANCHISE,211002,449.0,Allahabad,Delivered,449.0,4183210176820,2232857
GLOSKIN SOAP 75G PACK OF 2,COD,SONLENTERPRISES FRANCHISE,571301,599.0,Nanjangud,Delivered,599.0,4183210177516,2232944
Cobra Magnum Pepper Spray 35 gms 55ml,COD,SONLENTERPRISES FRANCHISE,700141,548.0,Maheshtala,Delivered,548.0,4183210175744,2232738
POLLUGAURD SPF 35 PA 60G SUNSCREEN GEL,COD,SONLENTERPRISES FRANCHISE,562109,699.0,Ramanagara,Delivered,699.0,4183210177262,2232898
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,700060,339.0,Kolkata,Delivered,339.0,4183210175475,2232713
GLAMUS CREAM,COD,SONLENTERPRISES FRANCHISE,833102,574.0,Chakradharpur,Delivered,574.0,4183210176315,2232795
Vit Cal Hair Oil 100 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,700088,519.0,Kolkata,Delivered,519.0,4183210175361,2232692
STRETCH OIL Pack Of 2 100ml,COD,SONLENTERPRISES FRANCHISE,515411,539.0,Tadipatri,Delivered,539.0,4183210176046,2232775
Cutisilk Moisturizing lotion 200ml,COD,SONLENTERPRISES FRANCHISE,560068,619.0,Bangalore,Delivered,619.0,4183210177310,2232794
Theraderm BB White Moisture SPF 50 20g ,COD,SONLENTERPRISES FRANCHISE,144001,1870.0,Jalandhar,Delivered,1870.0,4183210176271,2232804
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,515134,398.0,Puttaparthi,Delivered,398.0,4183210176562,2232844
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,516107,1033.0,Rajampet,Delivered,1033.0,4183210177100,2232892
aktisoft moisturising lotion 150gm,COD,SONLENTERPRISES FRANCHISE,560036,489.0,Bangalore,Delivered,489.0,4183210175560,2232727
TRIMZIT FACE WASH 100ml,COD,SONLENTERPRISES FRANCHISE,562107,477.0,Bangalore,Delivered,477.0,4183210177214,2232915
COGNI UP SYRUP 200ML Mango Flavour,COD,SONLENTERPRISES FRANCHISE,495677,1129.0,Korba,Delivered,1129.0,4183210175626,2232719
ReeBright Cream 30g,COD,SONLENTERPRISES FRANCHISE,515134,484.0,Puttaparthi,Delivered,484.0,4183210175615,2232721
