Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Hafoos Cream 75 gm pack of 3,COD,SONLENTERPRISES FRANCHISE,534001,744.0,Eluru,Delivered,744.0,4183210180515,2233267
Sensitran Toothpaste 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,414003,499.0,Ahmednagar,Delivered,499.0,4183210180165,2233235
Madhivala LINIMENT Pain Reliever and Soothing Agent 200ml Pack of 1,COD,SONLENTERPRISES FRANCHISE,226001,339.0,Lucknow,Delivered,339.0,4183210180180,2233230
Lugol s Solution I P 66 100ml,COD,SONLENTERPRISES FRANCHISE,362225,515.0,Keshod,Delivered,515.0,4183210180191,2233224
Hafoos Cream 75 gm pack of 2,COD,SONLENTERPRISES FRANCHISE,827006,529.0,Bokaro,Delivered,529.0,4183210180143,2233228
Sebum akt Anti Acne Soap 75g pack of 3,COD,SONLENTERPRISES FRANCHISE,577223,489.0,Honnali,Delivered,489.0,4183210180294,2233257
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,400614,259.0,Navi mumbai,Delivered,259.0,4183210180073,2233214
Vit Cal Hair Oil 100 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,515201,519.0,Hindupur,Delivered,519.0,4183210180213,2233251
KOZEL FACE WASH,COD,SONLENTERPRISES FRANCHISE,522005,450.0,Guntur,Delivered,450.0,4183210180331,2233264
STRETCH OIL Pack Of 2 100ml,COD,SONLENTERPRISES FRANCHISE,509338,539.0,Kosgi,Delivered,539.0,4183210180305,2233255
Madhivala LINIMENT Pain Reliever and Soothing Agent 200ml Pack of 1,COD,SONLENTERPRISES FRANCHISE,221201,339.0,Babatpur,Delivered,339.0,4183210179885,2233190
Vit Cal Hair Oil 200ml,COD,SONLENTERPRISES FRANCHISE,508374,449.0,Madgulapally,Delivered,449.0,4183210180121,2233227
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,516439,778.0,Proddatur,Delivered,778.0,4183210180051,2233219
Time Age Anti Aging Cream 50 Gm,COD,SONLENTERPRISES FRANCHISE,416404,1801.0,Jath,Delivered,1801.0,4183210179583,2233153
KabiBite mango flavour diskettes 250g,COD,SONLENTERPRISES FRANCHISE,110032,1915.0,Delhi,Delivered,1915.0,4183210180040,2233191
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,303012,417.0,Jaipur,Delivered,417.0,4183210180084,2233213
Onon Ketoconazole Shampoo 50gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,221001,449.0,Varanasi,Delivered,449.0,4183210179944,2233197
Onon Ketoconazole 2 Medicated Soap 75g Pack of 2 Fitamin Plus 15 Tablets pack of 2,COD,SONLENTERPRISES FRANCHISE,763002,869.0,Semiliguda,Delivered,869.0,4183210180110,2233225
HOLLISTER,COD,SONLENTERPRISES FRANCHISE,303504,1666.0,Lalsot,Delivered,1666.0,4183210180106,2233041
Dankare Gentle Shampoo 100 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,620003,279.0,Tiruchi,Delivered,279.0,4183210179933,2233184
BIOHAIR Ultra Shampoo 100ml pack of 2,COD,SONLENTERPRISES FRANCHISE,571216,649.0,Gonikoppal,Delivered,649.0,4183210180036,2233196
Bio Hgf Forte 30 Capsules,COD,SONLENTERPRISES FRANCHISE,110005,2470.0,Delhi,Delivered,2470.0,4183210179992,2233182
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,560035,778.0,Bangalore,Delivered,778.0,4183210180062,2233217
velfour kit A 880001 18 25cm,COD,SONLENTERPRISES FRANCHISE,691021,987.0,Kollam,Delivered,987.0,4183210179922,2233169
Rosacnil Gel 70 gm,COD,SONLENTERPRISES FRANCHISE,601204,399.0,Gummudipoondi,Delivered,399.0,4183210180014,2233195
Ana Hair 30 Tablets,COD,SONLENTERPRISES FRANCHISE,700009,1255.0,Kolkata,Delivered,1255.0,4183210179874,2233189
WASA mousse 200ml,COD,SONLENTERPRISES FRANCHISE,263139,1100.0,Haldwani,Delivered,1100.0,4183210179830,2233183
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,504001,778.0,Adilabad,Delivered,778.0,4183210180003,2233207
Vit Cal Hair Oil 100 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,641046,519.0,Coimbatore,Delivered,519.0,4183210179653,2233174
Opexa Gel Advanced Scar Treatment 10gm,COD,SONLENTERPRISES FRANCHISE,262122,590.0,Puranpur,Delivered,590.0,4183210179793,2233167
Biohair Ultra 30 plus Capsules,COD,SONLENTERPRISES FRANCHISE,380059,1170.0,Ahmedabad,Delivered,1170.0,4183210179896,2233192
Whit Care Skin Treatment Lotion 100 ml pack of 2,COD,SONLENTERPRISES FRANCHISE,560064,399.0,Doddaballapura,Delivered,399.0,4183210179841,2233181
Altris 5 Solution 60 ml,COD,SONLENTERPRISES FRANCHISE,624707,1150.0,Dindigul,Delivered,1150.0,4183210179491,2233070
Microdacyn Hydrogel 60g,COD,SONLENTERPRISES FRANCHISE,560019,788.0,Bangalore,Delivered,788.0,4183210179900,2233127
Trichobest Scalp Oil 100 ml,COD,SONLENTERPRISES FRANCHISE,533252,497.0,Narsapur,Delivered,497.0,4183210179804,2233180
WHIT CARE 40CAPSULES Whit Care Skin Treatment Lotion 100 ml pack of 2,COD,SONLENTERPRISES FRANCHISE,825405,1070.0,Chouparan,Delivered,1070.0,4183210179480,2233121
OMNIFADE INTENSIVE BRIGHTENING AND DEPIGMENTING SERUM 30ML,COD,SONLENTERPRISES FRANCHISE,743502,1569.0,Ghatakpukur,Delivered,1569.0,4183210179406,2233144
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,141001,579.0,Ludhiana,Delivered,579.0,4183210179395,2233141
Aktisoft Shower Gel 200ml,COD,SONLENTERPRISES FRANCHISE,110024,1550.0,Delhi,Delivered,1550.0,4183210179546,2233159
aktisoft moisturising lotion 150gm,COD,SONLENTERPRISES FRANCHISE,845438,489.0,Bettiah,Delivered,489.0,4183210178905,2233067
Whit Care Skin Treatment Lotion 100 ml pack of 2 WHIT CARE CAPSULES 40 CAPS,COD,SONLENTERPRISES FRANCHISE,620001,1090.0,Tiruchi,Delivered,1090.0,4183210179535,2233158
Rosacnil Gel 70 gm,COD,SONLENTERPRISES FRANCHISE,761017,399.0,Mohana,Delivered,399.0,4183210179594,2233170
