Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Dew On moisturing bar PACK oF 4,COD,SONLENTERPRISES FRANCHISE,517588,1190.0,Tada,Delivered,1190.0,4183210181731,2233437
Dewmoiz Moisturising soap 75gms pack of 2,COD,SONLENTERPRISES FRANCHISE,533240,626.0,Razole,Delivered,626.0,4183210182000,2233479
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,396191,299.0,Vapi,Delivered,299.0,4183210181871,2233456
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,413709,499.0,Shrirampur,Delivered,499.0,4183210181790,2233447
STRETCH OIL Pack Of 2 100ml,COD,SONLENTERPRISES FRANCHISE,521331,539.0,Gudivada,Delivered,539.0,4183210182011,2233475
ReeBright Cream 30g,COD,SONLENTERPRISES FRANCHISE,583231,869.0,Koppal,Delivered,869.0,4183210182055,2233484
STRETCH OIL Pack Of 2 100ml,COD,SONLENTERPRISES FRANCHISE,411033,539.0,Pune,Delivered,539.0,4183210181845,2233459
RenoPro High Protein Vanilla Flavour Powder 400 g,COD,SONLENTERPRISES FRANCHISE,144623,1870.0,Nakodar,Delivered,1870.0,4183210181683,2233424
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,560016,778.0,Bangalore,Delivered,778.0,4183210181893,2233462
ARTHORUB LINIMENT 30ML,COD,SONLENTERPRISES FRANCHISE,713102,484.0,Bardhaman,Delivered,484.0,4183210181580,2233425
Sensitran Toothpaste 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,274402,499.0,Kushinagar,Delivered,499.0,4183210181506,2233415
ReeBright Cream 30g,COD,SONLENTERPRISES FRANCHISE,585421,484.0,Aurad,Delivered,484.0,4183210181882,2233463
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,533003,778.0,Kakinada,Delivered,778.0,4183210181904,2233460
aktisoft moisturising Bar pack of 3 100GM,COD,SONLENTERPRISES FRANCHISE,534123,639.0,Penugonda,Delivered,639.0,4183210181801,2233445
Root in serum 60ML,COD,SONLENTERPRISES FRANCHISE,600003,898.0,Chennai,Delivered,898.0,4183210181823,2233455
Aktisoft Gc Moisturising Cream 150gm and Aktisoft Moisturising Lotion 150ml Combo,COD,SONLENTERPRISES FRANCHISE,560066,799.0,Bangalore,Delivered,799.0,4183210181786,2233449
Onon Ketoconazole 2 Medicated Soap 75g Pack of 2,COD,SONLENTERPRISES FRANCHISE,180001,389.0,Jammu,Delivered,389.0,4183210181554,2233423
Onon Ketoconazole 2 Medicated Soap 75g Pack of 2,COD,SONLENTERPRISES FRANCHISE,752030,389.0,Balugaon,Delivered,389.0,4183210181661,2233432
Haeroot Hair Serum Pack of 1,COD,SONLENTERPRISES FRANCHISE,572101,1220.0,Tumkur,Delivered,1220.0,4183210181764,2233390
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,276125,499.0,Jiyanpur,Delivered,499.0,4183210181274,2233376
Kushal Kanthil 5gm Pack of 6,COD,SONLENTERPRISES FRANCHISE,600033,489.0,Chennai,Delivered,489.0,4183210181720,2233439
Ana Hair 30 Tablets,COD,SONLENTERPRISES FRANCHISE,560022,1255.0,Bangalore,Delivered,1255.0,4183210181753,2233391
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,400009,499.0,Mumbai,Delivered,499.0,4183210181591,2233414
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,394230,499.0,Surat,Delivered,499.0,4183210181473,2233421
Root in serum 60ML,COD,SONLENTERPRISES FRANCHISE,441107,898.0,Savner,Delivered,898.0,4183210181646,2233396
Rensa Cleansing bar for Acne prone skin 75gm pack of 2,COD,SONLENTERPRISES FRANCHISE,560057,309.0,Bangalore,Delivered,309.0,4183210181742,2233407
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,501359,778.0,Kadthal,Delivered,778.0,4183210181532,2233399
TRIMZIT FACE WASH 100ml,COD,SONLENTERPRISES FRANCHISE,560099,477.0,Bangalore,Delivered,477.0,4183210181484,2233420
TRICHOGROW SHAMPOO 150ML PACK OF 2,COD,SONLENTERPRISES FRANCHISE,533247,1428.0,Razole,Delivered,1428.0,4183210181311,2233385
