Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Bio Hgf Forte 30 Capsules,COD,SONLENTERPRISES FRANCHISE,324001,699.0,Kota,Delivered,699.0,4183210182696,2233486
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,504311,778.0,Utnoor,Delivered,778.0,4183210182792,2233574
Hairguard PH 55 Shampoo 125ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,560067,621.0,Bangalore,Delivered,621.0,4183210182711,2233553
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,509301,778.0,Mahabubnagar,Delivered,778.0,4183210182770,2233567
SKINSECT L G bathing bar 100g pack of 4,COD,SONLENTERPRISES FRANCHISE,505001,819.0,Karim Nagar,Delivered,819.0,4183210182781,2233506
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,520008,489.0,Vijayawada,Delivered,489.0,4183210182755,2233560
Root in serum 60ML,COD,SONLENTERPRISES FRANCHISE,560100,898.0,Bangalore,Delivered,898.0,4183210182722,2233555
Response Pain Reliever Oil 80ml,COD,SONLENTERPRISES FRANCHISE,516360,919.0,Proddatur,Delivered,919.0,4183210182744,2233558
Whit Care Skin Treatment Lotion 100 ml pack of 2,COD,SONLENTERPRISES FRANCHISE,816109,999.0,Sahebganj,Delivered,999.0,4183210182431,2233523
Onon Ketoconazole Shampoo 50gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,272191,449.0,Domariyaganj,Delivered,449.0,4183210182361,2233503
Brain IQ Syrup 150ml,COD,SONLENTERPRISES FRANCHISE,313001,2460.0,Udaipur,Delivered,2460.0,4183210182372,2233502
REDENSER PLUS SERUM 60ML,COD,SONLENTERPRISES FRANCHISE,560040,1116.0,Bangalore,Delivered,1116.0,4183210182663,2233549
Aktisoft GC moisturising Cream 150G,COD,SONLENTERPRISES FRANCHISE,515671,419.0,Dharmavaram,Delivered,419.0,4183210182674,2233546
RIPANTO OINTMENT PACK OF 5 ,COD,SONLENTERPRISES FRANCHISE,680588,349.0,Pazhayannur,Delivered,349.0,4183210182490,2233526
ARBORIUM PLUS 300ML SYRUP PACK OF 4,COD,SONLENTERPRISES FRANCHISE,759107,1780.0,Talcher,Delivered,1780.0,4183210182394,2233496
Eitilgo Lotion pack of 1,COD,SONLENTERPRISES FRANCHISE,522001,389.0,Guntur,Delivered,389.0,4183210182582,2233517
P soft soap 100gm pack of 2,COD,SONLENTERPRISES FRANCHISE,522619,379.0,Chilakaluripet,Delivered,379.0,4183210182125,2233490
ATRIMED Atrisor Moisturizer 200ml Psorolin B ointment,COD,SONLENTERPRISES FRANCHISE,600078,666.0,Chennai,Delivered,666.0,4183210182383,2233500
Granvalor Trichobest Hair Serum 100ML,COD,SONLENTERPRISES FRANCHISE,700079,1970.0,Kolkata,Delivered,1970.0,4183210182475,2233489
Aktisoft GC moisturising Cream 150g TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,560064,1098.0,Bangalore,Delivered,1098.0,4183210182512,2233530
Dewmoiz Moisturising soap 75gms pack of 2,COD,SONLENTERPRISES FRANCHISE,505001,626.0,Karim Nagar,Delivered,626.0,4183210182641,2233535
Dewmoiz Moisturising soap 75gms pack of 2,COD,SONLENTERPRISES FRANCHISE,533431,626.0,Yerravaram,Delivered,626.0,4183210182626,2233540
BIOHAIR Ultra Shampoo 100ml pack of 2,COD,SONLENTERPRISES FRANCHISE,502001,649.0,Sangareddy,Delivered,649.0,4183210182652,2233550
