Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
ONON SHAMPOO 50ML,COD,SONLENTERPRISES FRANCHISE,581116,274.0,Ranebennur,Delivered,274.0,4183210183525,2233676
WHITCARE CREAM 25GM,COD,SONLENTERPRISES FRANCHISE,122001,249.0,Gurgaon,Delivered,249.0,4183210183595,2233675
OMNICEUTICS CIRA SCREEN GEL SPF 50,COD,SONLENTERPRISES FRANCHISE,534202,998.0,Bhimavaram,Delivered,998.0,4183210183691,2233701
Purilon Gel 8g 3906,COD,SONLENTERPRISES FRANCHISE,360004,573.0,Rajkot,Delivered,573.0,4183210183492,2233662
Dreamlite Cream 20 gm,COD,SONLENTERPRISES FRANCHISE,244901,347.0,Rampur,Delivered,347.0,4183210183190,2233625
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,303012,417.0,Jaipur,Delivered,417.0,4183210183411,2233654
ReeBright Cream 30g,COD,SONLENTERPRISES FRANCHISE,515001,484.0,Anantapur,Delivered,484.0,4183210183632,2233696
Keto medicated Soap PACK Of 3,COD,SONLENTERPRISES FRANCHISE,577528,783.0,Jagaluru,Delivered,783.0,4183210183573,2233679
KOZEL FACE WASH,COD,SONLENTERPRISES FRANCHISE,533101,329.0,Rajahmundry,Delivered,329.0,4183210183584,2233677
Stretch Oil 200 ml,COD,SONLENTERPRISES FRANCHISE,515455,459.0,Gooty,Delivered,459.0,4183210183643,2233692
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,411061,699.0,Pune,Delivered,699.0,4183210183470,2233665
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,530018,398.0,Visakhapatnam,Delivered,398.0,4183210183606,2233685
SKINSECT L G bathing bar 100g pack of 4,COD,SONLENTERPRISES FRANCHISE,600123,459.0,Chennai,Delivered,459.0,4183210183466,2233663
ReeHair Advance Hair Growth Capsules 30`S,COD,SONLENTERPRISES FRANCHISE,400069,1469.0,Mumbai,Delivered,1469.0,4183210183422,2233651
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,515671,778.0,Dharmavaram,Delivered,778.0,4183210183514,2233664
STRETCH OIL 200 ml Pack Of 3,COD,SONLENTERPRISES FRANCHISE,518003,1150.0,Kurnool,Delivered,1150.0,4183210183400,2233659
GLAMUS CREAM,COD,SONLENTERPRISES FRANCHISE,560103,574.0,Bangalore,Delivered,574.0,4183210182965,2233588
Rosacnil Gel 70 gm,COD,SONLENTERPRISES FRANCHISE,422101,249.0,Nashik,Delivered,249.0,4183210183072,2233607
Salubri Moisturize lotion 200ml,COD,SONLENTERPRISES FRANCHISE,517551,575.0,Puttur-AP,Delivered,575.0,4183210183212,2233636
aktisoft moisturising Bar pack of 3 100GM,COD,SONLENTERPRISES FRANCHISE,506370,1150.0,Warangal,Delivered,1150.0,4183210183444,2233647
Root in serum 60ML,COD,SONLENTERPRISES FRANCHISE,792001,898.0,Tezu,Delivered,898.0,4183210182932,2233577
Aktisoft GC moisturising Cream 150G,COD,SONLENTERPRISES FRANCHISE,440034,419.0,Nagpur,Delivered,419.0,4183210183396,2233661
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,533294,2037.0,Rajahmundry,Delivered,2037.0,4183210183455,2233646
Madhivala LINIMENT Pain Reliever and Soothing Agent 200ml Pack of 1,COD,SONLENTERPRISES FRANCHISE,141001,819.0,Ludhiana,Delivered,819.0,4183210183035,2233601
Whit Care Skin Treatment Lotion 100 ml pack of 2 WHIT CARE 40CAPSULES,COD,SONLENTERPRISES FRANCHISE,620001,1490.0,Tiruchi,Delivered,1490.0,4183210183175,2233627
OZIEL SG 50 SUNSCREEN LOTION,COD,SONLENTERPRISES FRANCHISE,802101,509.0,Buxar,Delivered,509.0,4183210182954,2233589
Glymed Lotion 250ML,COD,SONLENTERPRISES FRANCHISE,600119,757.0,Chennai,Delivered,757.0,4183210182814,2233575
Root in serum 60ML,COD,SONLENTERPRISES FRANCHISE,501301,898.0,Ghatkesar,Delivered,898.0,4183210183201,2233639
REMORIN CAPSULES pack of 3 3 X30 ,COD,SONLENTERPRISES FRANCHISE,700019,549.0,Kolkata,Delivered,549.0,4183210182991,2233593
OMNIFADE INTENSIVE BRIGHTENING AND DEPIGMENTING SERUM 30ML Ahaglow Face Wash Gel 200g,COD,SONLENTERPRISES FRANCHISE,700046,2208.0,Kolkata,Delivered,2208.0,4183210182980,2233594
BRAIN UP Mango Flavour 150ml,COD,SONLENTERPRISES FRANCHISE,783337,1117.0,Dotma,Delivered,1117.0,4183210182862,2233551
ReeHair Advance Hair Growth Capsules 30`S,COD,SONLENTERPRISES FRANCHISE,401105,1469.0,Mumbai,Delivered,1469.0,4183210182976,2233595
OMNIFADE INTENSIVE BRIGHTENING AND DEPIGMENTING SERUM 30ML,COD,SONLENTERPRISES FRANCHISE,508202,1569.0,Haliya,Delivered,1569.0,4183210183153,2233629
Propysalic NF6 Ointment,COD,SONLENTERPRISES FRANCHISE,560045,289.0,Bangalore,Delivered,289.0,4183210183105,2233591
Recute Oil 100 ml prosit,COD,SONLENTERPRISES FRANCHISE,575030,319.0,Surathkal,Delivered,319.0,4183210182921,2233587
Zinc Paste Bandage Z Paste,COD,SONLENTERPRISES FRANCHISE,584123,659.0,Manvi,Delivered,659.0,4183210182943,2233590
Root in serum 60ML,COD,SONLENTERPRISES FRANCHISE,584101,898.0,Raichur,Delivered,898.0,4183210183061,2233615
Response Pain Reliever Oil 80ml,COD,SONLENTERPRISES FRANCHISE,509001,509.0,Mahabubnagar,Delivered,509.0,4183210183094,2233617
Onon Ketoconazole Shampoo 50gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,603306,449.0,Melmaruvathur,Delivered,449.0,4183210182884,2233579
