Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,515631,417.0,Dharmavaram,Delivered,417.0,4183210184251,2233745
Ana Hair 30 Tablets,COD,SONLENTERPRISES FRANCHISE,121003,3625.0,Faridabad,Delivered,3625.0,4183210184192,2233762
P SCAB the efficient miticidal 75gm pack 4,COD,SONLENTERPRISES FRANCHISE,324002,999.0,Kota,Delivered,999.0,4183210184225,2233748
TRIMZIT FACE WASH 100ml,COD,SONLENTERPRISES FRANCHISE,121002,477.0,Faridabad,Delivered,477.0,4183210184240,2233746
MASKOSUN SOFT MATTE FINISH SILICON GEL SPF 60PA 50GM,COD,SONLENTERPRISES FRANCHISE,533250,791.0,Razole,Delivered,791.0,4183210184310,2233730
Onon Ketoconazole Shampoo 50gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,560091,449.0,Bangalore,Delivered,449.0,4183210184236,2233747
Hairguard PH 55 Shampoo 200ml,COD,SONLENTERPRISES FRANCHISE,560036,949.0,Bangalore,Delivered,949.0,4183210184306,2233731
Dewmoiz Moisturising soap 75gms pack of 2,COD,SONLENTERPRISES FRANCHISE,504106,626.0,Nirmal,Delivered,626.0,4183210184170,2233773
P soft soap 100gm pack of 2,COD,SONLENTERPRISES FRANCHISE,401305,659.0,Mumbai,Delivered,659.0,4183210183890,2233724
Recute Oil 100 ml prosit,COD,SONLENTERPRISES FRANCHISE,580030,319.0,Hubli,Delivered,319.0,4183210183735,2233711
Ana Hair Nano Serum,COD,SONLENTERPRISES FRANCHISE,751006,2470.0,Bhubaneshwar,Delivered,2470.0,4183210183562,2233680
Sensitran Toothpaste 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,452016,499.0,Indore,Delivered,499.0,4183210183750,2233705
Sensitran Toothpaste 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,600085,499.0,Chennai,Delivered,499.0,4183210183853,2233722
Hair Active Serum Gel,COD,SONLENTERPRISES FRANCHISE,211011,529.0,Allahabad,Delivered,529.0,4183210183503,2233637
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,313301,299.0,Rajsamand,Delivered,299.0,4183210183654,2233691
Sensitran Tooth Powder 100gm Pack Of 3,COD,SONLENTERPRISES FRANCHISE,248002,399.0,Dehradun,Delivered,399.0,4183210183610,2233702
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,533435,778.0,Yerravaram,Delivered,778.0,4183210183761,2233703
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,585106,489.0,Gulbarga,Delivered,489.0,4183210183783,2233686
Promaxe vanilla flavour 400g,COD,SONLENTERPRISES FRANCHISE,759107,1049.0,Talcher,Delivered,1049.0,4183210183621,2233699
Hairguard PH 55 Shampoo 125ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,635303,1114.0,Harur,Delivered,1114.0,4183210183665,2233690
Lysil Gel 10gm,COD,SONLENTERPRISES FRANCHISE,638657,804.0,Dharapuram,Delivered,804.0,4183210183702,2233693
Huf Puf Kit,COD,SONLENTERPRISES FRANCHISE,110025,825.0,Delhi,Delivered,825.0,4183210183680,2233681
Naturolax Isapgol Husk Powder 300g,COD,SONLENTERPRISES FRANCHISE,700120,1099.0,Barrackpore,Delivered,1099.0,4183210183223,2233633
KetoKid 400 gm,COD,SONLENTERPRISES FRANCHISE,140603,3670.0,Zirakpur,Delivered,3670.0,4183210183551,2233669
Aktisoft Moisturising bar 100GM PACK OF 2,COD,SONLENTERPRISES FRANCHISE,690503,459.0,Kayamkulam,Delivered,459.0,4183210183676,2233684
