Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Root in serum 60ML,COD,SONLENTERPRISES FRANCHISE,562114,1668.0,Hoskote,Delivered,1668.0,4183210184936,2233789
Lumivoid Depigmenting Cream 15g,COD,SONLENTERPRISES FRANCHISE,743126,594.0,Naihati,Delivered,594.0,4183210185441,2233871
Faceclin AT 15g,COD,SONLENTERPRISES FRANCHISE,846005,337.0,Darbhanga,Delivered,337.0,4183210184903,2233775
RIPANTO OINTMENT PACK OF 5 ,COD,SONLENTERPRISES FRANCHISE,686544,1320.0,Ranni,Delivered,1320.0,4183210185522,2233817
KabiBite mango flavour diskettes 250g,COD,SONLENTERPRISES FRANCHISE,741301,1177.0,Nabadwip,Delivered,1177.0,4183210185054,2233844
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,625706,499.0,Madurai,Delivered,499.0,4183210185393,2233778
aktisoft moisturising lotion 150gm,COD,SONLENTERPRISES FRANCHISE,560016,489.0,Bangalore,Delivered,489.0,4183210185216,2233832
Ten on Ten Brain Wellness Tonic 200ml,COD,SONLENTERPRISES FRANCHISE,400605,1250.0,Thane,Delivered,1250.0,4183210185220,2233831
BIOHAIR Ultra Shampoo 100ml pack of 2,COD,SONLENTERPRISES FRANCHISE,560029,649.0,Bangalore,Delivered,649.0,4183210185382,2233823
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,110042,419.0,Delhi,Delivered,419.0,4183210185474,2233865
BRAIN UP Mango Flavour 150ml,COD,SONLENTERPRISES FRANCHISE,560076,1117.0,Bangalore,Delivered,1117.0,4183210185404,2233774
Dankare Gentle Shampoo 100 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,620003,279.0,Tiruchi,Delivered,279.0,4183210185242,2233803
Stretch Oil 200 ml,COD,SONLENTERPRISES FRANCHISE,413217,459.0,Akkalkot,Delivered,459.0,4183210185485,2233861
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,474011,299.0,Gwalior,Delivered,299.0,4183210184881,2233784
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,641041,739.0,Coimbatore,Delivered,739.0,4183210185500,2233857
Recute Oil 100 ml prosit,COD,SONLENTERPRISES FRANCHISE,560076,1390.0,Bangalore,Delivered,1390.0,4183210185032,2233846
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,560100,398.0,Bangalore,Delivered,398.0,4183210185511,2233852
ReeBright Cream 30g,COD,SONLENTERPRISES FRANCHISE,503144,484.0,Kamareddy,Delivered,484.0,4183210185463,2233868
Stretch Oil 200 ml,COD,SONLENTERPRISES FRANCHISE,584103,459.0,Raichur,Delivered,459.0,4183210185430,2233872
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,370201,499.0,Gandhidham,Delivered,499.0,4183210184774,2233804
Madhivala LINIMENT Pain Reliever and Soothing Agent 200ml Pack of 1,COD,SONLENTERPRISES FRANCHISE,711101,339.0,Bally,Delivered,339.0,4183210184962,2233754
Dermadew Baby Soap 75gm pack of 3 Onon Ketoconazole 2 Medicated Soap 75g Pack of 2 Verdura Anti Scaling Scalp Shampoo 100 ml,COD,SONLENTERPRISES FRANCHISE,517352,1429.0,Madanapalle,Delivered,1429.0,4183210185010,2233849
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,560016,778.0,Bangalore,Delivered,778.0,4183210184785,2233799
TRIMZIT FACE WASH 100ml,COD,SONLENTERPRISES FRANCHISE,600004,477.0,Chennai,Delivered,477.0,4183210185021,2233848
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,600028,778.0,Chennai,Delivered,778.0,4183210184752,2233811
Kineaz joint bone Red OIL 50ml PACK OF 2,COD,SONLENTERPRISES FRANCHISE,505514,354.0,Ramagundam,Delivered,354.0,4183210185043,2233845
Dewmoiz Moisturising soap 75gms pack of 2,COD,SONLENTERPRISES FRANCHISE,531116,626.0,Narsipatnam,Delivered,626.0,4183210184332,2233715
Granvalor Trichobest Hair Serum 100ML,COD,SONLENTERPRISES FRANCHISE,585401,1049.0,Bidar,Delivered,1049.0,4183210184973,2233735
ReeBright Skin Brightening Soap 75gms,COD,SONLENTERPRISES FRANCHISE,560021,498.0,Bangalore,Delivered,498.0,4183210184892,2233776
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,534122,778.0,Penugonda,Delivered,778.0,4183210184822,2233793
Dewmoiz Moisturising soap 75gms pack of 2,COD,SONLENTERPRISES FRANCHISE,506223,348.0,Cherial,Delivered,348.0,4183210184833,2233792
Salubri Moisturize lotion 200ml,COD,SONLENTERPRISES FRANCHISE,507001,575.0,Khammam,Delivered,575.0,4183210184951,2233765
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,522002,778.0,Guntur,Delivered,778.0,4183210184870,2233785
Granvalor Trichobest Hair Serum 100ML,COD,SONLENTERPRISES FRANCHISE,585402,1049.0,Bidar,Delivered,1049.0,4183210184940,2233781
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,700055,259.0,Kolkata,Delivered,259.0,4183210184273,2233742
