Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Dewmoiz Moisturising cream 100ml SKU: 91597,COD,SONLENTERPRISES FRANCHISE,534201,967.0,Bhimavaram,Delivered,967.0,4183210189991,2236380
ReeBright Skin Brightening Soap 100gms SKU: 60889,COD,SONLENTERPRISES FRANCHISE,530013,868.0,Visakhapatnam,Delivered,868.0,4183210190142,2236339
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2 SKU: 91917,COD,SONLENTERPRISES FRANCHISE,507303,706.0,Sathupally,Delivered,706.0,4183210190175,2236376
Aktisoft GC moisturising Cream 150g SKU: 23778,COD,SONLENTERPRISES FRANCHISE,560067,390.0,Bangalore,Delivered,390.0,4183210190164,2236369
Stretch Oil 100 Ml SKU: 92180,COD,SONLENTERPRISES FRANCHISE,517214,290.0,Pileru,Delivered,290.0,4183210189976,2236382
Dew On moisturing bar PACK oF 4 SKU: 91708,COD,SONLENTERPRISES FRANCHISE,601202,1502.0,Gummudipoondi,Delivered,1502.0,4183210189932,2236371
DEW ON MOISTURISING BAR 75 GM SKU: 92161,COD,SONLENTERPRISES FRANCHISE,601202,428.0,Gummudipoondi,Delivered,428.0,4183210189965,2236366
ReeBright Cream 30g SKU: 91728,COD,SONLENTERPRISES FRANCHISE,523155,840.0,Chirala,Delivered,840.0,4183210189980,2236381
Dewmoiz Moisturising cream 100ml SKU: 91597,COD,SONLENTERPRISES FRANCHISE,560057,369.0,Bangalore,Delivered,369.0,4183210189954,2236374
Hairguard PH 55 Shampoo 125ml Pack of 2 SKU: 91755,COD,SONLENTERPRISES FRANCHISE,505001,592.0,Karim Nagar,Delivered,592.0,4183210189921,2236367
