Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,700060,420.0,Kolkata,Delivered,420.0,4183210190562,2236546
OMNICEUTICS CIRA SCREEN GEL SPF 50,COD,SONLENTERPRISES FRANCHISE,600069,1968.0,Chennai,Delivered,1968.0,4183210190352,2236501
CLARISA soap 75gm pack of 3,COD,SONLENTERPRISES FRANCHISE,635207,460.0,Uthangarai,Delivered,460.0,4183210190363,2236500
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,504311,749.0,Utnoor,Delivered,749.0,4183210190481,2236517
Triclenz Hair Cleanser 250ML,COD,SONLENTERPRISES FRANCHISE,577501,482.0,Chitradurga,Delivered,482.0,4183210190374,2236497
Dreamlite Face Wash,COD,SONLENTERPRISES FRANCHISE,504208,460.0,Mancherial,Delivered,460.0,4183210190455,2236515
ReeBright Skin Brightening Soap,COD,SONLENTERPRISES FRANCHISE,518006,469.0,Kurnool,Delivered,469.0,4183210190470,2236518
P SOFT 100GM CREAM,COD,SONLENTERPRISES FRANCHISE,503301,1574.0,Banswada,Delivered,1574.0,4183210190411,2236455
Stretch Oil 200 ml,COD,SONLENTERPRISES FRANCHISE,521331,430.0,Gudivada,Delivered,430.0,4183210190341,2236503
BD Glide with TBL 6mm 100units,COD,SONLENTERPRISES FRANCHISE,635802,790.0,Ambur,Delivered,790.0,4183210190396,2236489
Granvalor Trichobest Hair Serum 100ML,COD,SONLENTERPRISES FRANCHISE,760002,1020.0,Behrampur,Delivered,1020.0,4183210190256,2236469
Promaxe vanilla flavour 400g,COD,SONLENTERPRISES FRANCHISE,751014,1020.0,Bhubaneshwar,Delivered,1020.0,4183210190201,2236453
Dewmoiz Moisturising soap,COD,SONLENTERPRISES FRANCHISE,560029,348.0,Bangalore,Delivered,348.0,4183210190293,2236482
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,521201,460.0,Nuzvid,Delivered,460.0,4183210190245,2236470
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,201305,460.0,Noida,Delivered,460.0,4183210190234,2236458
GLOWRICH SKIN LIGHTENING SOAP,COD,SONLENTERPRISES FRANCHISE,516434,388.0,Proddatur,Delivered,388.0,4183210190282,2236483
Eitilgo Lotion,COD,SONLENTERPRISES FRANCHISE,503002,360.0,Nizamabad,Delivered,360.0,4183210190212,2236452
