Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Glymed Lotion 250ML,COD,SONLENTERPRISES FRANCHISE,456006,951,Ujjain,Delivered,951,4.18321E+12,2232263
Glutalite Gel 30g PACK OF 2,COD,SONLENTERPRISES FRANCHISE,507158,963,Khammam,Delivered,963,4.18321E+12,2232292
Bio Hgf Forte 30 Capsules,COD,SONLENTERPRISES FRANCHISE,534202,699,Bhimavaram,Delivered,699,4.18321E+12,2232251
2BACONIL TTS30 21MG PATCH,COD,SONLENTERPRISES FRANCHISE,691004,3738,Kollam,Delivered,3738,4.18321E+12,2232258
DEWMOIST SOAP 75 GM PACK OF 2,COD,SONLENTERPRISES FRANCHISE,637408,599,Rasipuram,Delivered,599,4.18321E+12,2232254
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,110045,1428,Delhi,Delivered,1428,4.18321E+12,2232256
MEPILEX Ag 10 10cm 287110,COD,SONLENTERPRISES FRANCHISE,516101,1280,Koduru,Delivered,1280,4.18321E+12,2232223
Onon Ketoconazole 2 Medicated Soap 75g Pack of 2,COD,SONLENTERPRISES FRANCHISE,768020,747,Sambalpur,Delivered,747,4.18321E+12,2232213
BIo Av Curcumin Tablet 10 X 10,COD,SONLENTERPRISES FRANCHISE,500046,1648,Hyderabad,Delivered,1648,4.18321E+12,2232262
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,700094,339,Kolkata,Delivered,339,4.18321E+12,2232203
KabiBite mango flavour diskettes 250g,COD,SONLENTERPRISES FRANCHISE,734012,468,Bagdogra,Delivered,468,4.18321E+12,2232169
C akt ADVANCE VITAMN C SERUM 30 ML aktisoft moisturising lotion 150gm,COD,SONLENTERPRISES FRANCHISE,400005,1450,Mumbai,Delivered,1450,4.18321E+12,2232237
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,500043,417,Hyderabad,Delivered,417,4.18321E+12,2232250
Microdacyn Hydrogel 60g,COD,SONLENTERPRISES FRANCHISE,245207,788,Hapur,Delivered,788,4.18321E+12,2232214
Vit Cal Hair Oil 200ml,COD,SONLENTERPRISES FRANCHISE,507165,389,Wyra,Delivered,389,4.18321E+12,2232259
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,627811,899,Tenkasi,Delivered,899,4.18321E+12,2232229
Stretch Oil 200 ml,COD,SONLENTERPRISES FRANCHISE,400097,459,Mumbai,Delivered,459,4.18321E+12,2229526
Zinc Paste Bandage Z Paste,COD,SONLENTERPRISES FRANCHISE,695009,379,Thiruvananthapuram,Delivered,379,4.18321E+12,2232224
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,560016,499,Bangalore,Delivered,499,4.18321E+12,2232218
Hairguard PH 55 Shampoo 125ml,COD,SONLENTERPRISES FRANCHISE,560016,360,Bangalore,Delivered,360,4.18321E+12,2232221
Magidruff Anti Dandruff Shampoo 100ML,COD,SONLENTERPRISES FRANCHISE,521228,555,Mylavaram,Delivered,555,4.18321E+12,2232189
Stretch Oil 200 ml,COD,SONLENTERPRISES FRANCHISE,532402,459,Srikakulam,Delivered,459,4.18321E+12,2232183
REDENSER PLUS SERUM 60ML,COD,SONLENTERPRISES FRANCHISE,201303,1116,Noida,Delivered,1116,4.18321E+12,2232208
TRIMZIT FACE WASH 100ml,COD,SONLENTERPRISES FRANCHISE,562106,477,Bangalore,Delivered,477,4.18321E+12,2232206
Biohair 30 plus Capsules,COD,SONLENTERPRISES FRANCHISE,500035,1170,Hyderabad,Delivered,1170,4.18321E+12,2232230
Haeroot Capsule,COD,SONLENTERPRISES FRANCHISE,226028,579,Lucknow,Delivered,579,4.18321E+12,2232117
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,516172,417,Proddatur,Delivered,417,4.18321E+12,2232204
RESPONSE SYRUP 300ML,COD,SONLENTERPRISES FRANCHISE,531035,689,Anakapalle,Delivered,689,4.18321E+12,2232211
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,531173,697,Pendurthi,Delivered,697,4.18321E+12,2232216
P soft soap 100gm pack of 2,COD,SONLENTERPRISES FRANCHISE,585326,397,Aurad,Delivered,397,4.18321E+12,2232210
P soft soap 100gm pack of 2,COD,SONLENTERPRISES FRANCHISE,502270,695,Jogipet,Delivered,695,4.18321E+12,2232228
C akt ADVANCE VITAMN C SERUM 30 ML,COD,SONLENTERPRISES FRANCHISE,560025,1089,Bangalore,Delivered,1089,4.18321E+12,2232225
