Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,481102,1270.0,Balaghat,Delivered,1270.0,4183210166600,2231837
Biohair 30 plus Capsules,COD,SONLENTERPRISES FRANCHISE,560102,649.0,Bangalore,Delivered,649.0,4183210166460,2231821
Radiglow lotion 30ML,COD,SONLENTERPRISES FRANCHISE,560099,389.0,Bangalore,Delivered,389.0,4183210166235,2231785
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,508112,778.0,Choutuppal,Delivered,778.0,4183210166423,2231807
Onon Ketoconazole Shampoo 50gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,500049,449.0,Hyderabad,Delivered,449.0,4183210166644,2231826
Rosacnil Gel 70 gm,COD,SONLENTERPRISES FRANCHISE,441502,399.0,Savner,Delivered,399.0,4183210166585,2231779
Zycafy Shampoo for MEN and Women 150ml,COD,SONLENTERPRISES FRANCHISE,731204,739.0,Bolpur,Delivered,739.0,4183210166073,2231766
Glutalite Gel 30gm,COD,SONLENTERPRISES FRANCHISE,562110,531.0,Devanahalli,Delivered,531.0,4183210166014,2231781
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,500076,735.0,Hyderabad,Delivered,735.0,4183210166611,2231836
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,226001,339.0,Lucknow,Delivered,339.0,4183210166003,2231755
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,534250,417.0,Palakollu,Delivered,417.0,4183210166401,2231804
Norma Silicone Gel Sheets 10cm X 10cm,COD,SONLENTERPRISES FRANCHISE,110052,2466.0,Delhi,Delivered,2466.0,4183210166224,2231789
Promaxe vanilla flavour 400g,COD,SONLENTERPRISES FRANCHISE,507002,1049.0,Khammam,Delivered,1049.0,4183210166563,2231819
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,560017,459.0,Bangalore,Delivered,459.0,4183210166504,2231812
OMNICEUTICS CIRA SCREEN GEL SPF 50,COD,SONLENTERPRISES FRANCHISE,500090,998.0,Hyderabad,Delivered,998.0,4183210166725,2231832
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,504311,778.0,Utnoor,Delivered,778.0,4183210166445,2231811
Whit Care Skin Cream 25 gm PACK OF 2,COD,SONLENTERPRISES FRANCHISE,110092,399.0,Delhi,Delivered,399.0,4183210166375,2231799
Rosacnil Gel 70 gm,COD,SONLENTERPRISES FRANCHISE,560078,399.0,Bangalore,Delivered,399.0,4183210166434,2231806
KabiBite mango flavour diskettes 250g,COD,SONLENTERPRISES FRANCHISE,743129,837.0,Naihati,Delivered,837.0,4183210165970,2231743
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,560103,1074.0,Bangalore,Delivered,1074.0,4183210165955,2231754
FUROCYST women s health 60capsules,COD,SONLENTERPRISES FRANCHISE,560076,1726.0,Bangalore,Delivered,1726.0,4183210166316,2231790
